GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width,label,mean_s_simulation__speedup__V100_SXM2_CUDA_11.8
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1.000000,10648.000000,0.000000,1.277645,0.000000,0.000000,0.006375,10648.000000,9.090909,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1.000000,19683.000000,0.000000,2.251995,0.000000,0.000000,0.011246,19683.000000,7.407407,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1.000000,29791.000000,0.000000,3.373203,0.000000,0.000000,0.016853,29791.000000,6.451613,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1.000000,39304.000000,0.000000,4.428148,0.000000,0.000000,0.022127,39304.000000,5.882353,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1.000000,50653.000000,0.000000,5.686092,0.000000,0.000000,0.028418,50653.000000,5.405405,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1.000000,59319.000000,0.000000,6.629207,0.000000,0.000000,0.033133,59319.000000,5.128205,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1.000000,68921.000000,0.000000,11.377821,0.000000,0.000000,0.056876,68921.000000,4.878049,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,79507,43.000000,2.000000,1.000000,79507.000000,0.000000,13.033390,0.000000,0.000000,0.065154,79507.000000,4.651163,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,91125,45.000000,2.000000,1.000000,91125.000000,0.000000,14.913073,0.000000,0.000000,0.074552,91125.000000,4.444444,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,97336,46.000000,2.000000,1.000000,97336.000000,0.000000,15.998378,0.000000,0.000000,0.079978,97336.000000,4.347826,V100 SXM2 CUDA 11.8,1.000000
