GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,64000.000,0.000,10.022,0.000,0.000,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,64000.000,0.000,10.014,0.000,0.000,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,2,1.000,64000.000,0.000,9.999,0.000,0.000,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,0,1.000,64000.000,0.007,5.282,0.000,0.000,0.026
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,1,1.000,64000.000,0.007,5.294,0.000,0.000,0.026
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,2,1.000,64000.000,0.007,5.232,0.000,0.000,0.026
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,2.000,0,1.000,209.924,0.000,0.173,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,2.000,1,1.000,210.036,0.000,0.174,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,2.000,2,1.000,207.801,0.000,0.170,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,0,1.000,209.924,0.007,0.153,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,1,1.000,210.035,0.007,0.157,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,2,1.000,207.801,0.007,0.154,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,4.000,0,1.000,64000.000,0.000,18.974,0.000,0.000,0.095
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,4.000,1,1.000,64000.000,0.000,19.041,0.000,0.000,0.095
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,4.000,2,1.000,64000.000,0.000,19.237,0.000,0.000,0.096
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,0,1.000,64000.000,0.007,16.672,0.000,0.000,0.083
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,1,1.000,64000.000,0.007,16.620,0.000,0.000,0.083
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,2,1.000,64000.000,0.006,16.653,0.000,0.000,0.083
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,4.000,0,1.000,1695.049,0.000,0.945,0.000,0.000,0.005
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,4.000,1,1.000,1694.177,0.000,0.961,0.000,0.000,0.005
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,4.000,2,1.000,1690.775,0.000,0.956,0.000,0.000,0.005
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,0,1.000,1695.049,0.007,0.817,0.000,0.000,0.004
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,1,1.000,1694.177,0.007,0.819,0.000,0.000,0.004
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,2,1.000,1690.776,0.007,0.821,0.000,0.000,0.004
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,6.000,0,1.000,64000.000,0.000,23.256,0.000,0.000,0.116
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,6.000,1,1.000,64000.000,0.000,23.336,0.000,0.000,0.117
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,6.000,2,1.000,64000.000,0.000,23.370,0.000,0.000,0.117
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,0,1.000,64000.000,0.007,23.758,0.000,0.000,0.119
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,1,1.000,64000.000,0.006,23.737,0.000,0.000,0.119
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,2,1.000,64000.000,0.007,23.768,0.000,0.000,0.119
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,6.000,0,1.000,4279.760,0.000,2.203,0.000,0.000,0.011
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,6.000,1,1.000,4263.248,0.000,2.183,0.000,0.000,0.011
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,6.000,2,1.000,4259.865,0.000,2.198,0.000,0.000,0.011
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,0,1.000,4279.760,0.007,1.791,0.000,0.000,0.009
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,1,1.000,4263.248,0.007,1.763,0.000,0.000,0.009
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,2,1.000,4259.865,0.007,1.769,0.000,0.000,0.009
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,8.000,0,1.000,64000.000,0.000,24.286,0.000,0.000,0.121
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,8.000,1,1.000,64000.000,0.000,24.341,0.000,0.000,0.122
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,8.000,2,1.000,64000.000,0.000,24.374,0.000,0.000,0.122
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,0,1.000,64000.000,0.007,24.029,0.000,0.000,0.120
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,1,1.000,64000.000,0.007,23.929,0.000,0.000,0.120
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,2,1.000,64000.000,0.006,23.920,0.000,0.000,0.120
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,8.000,0,1.000,9580.163,0.000,5.373,0.000,0.000,0.027
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,8.000,1,1.000,9537.490,0.000,5.349,0.000,0.000,0.027
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000,8.000,2,1.000,9542.624,0.000,5.381,0.000,0.000,0.027
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,0,1.000,9580.165,0.007,3.804,0.000,0.000,0.019
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,1,1.000,9537.489,0.007,3.803,0.000,0.000,0.019
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,2,1.000,9542.622,0.007,3.769,0.000,0.000,0.019
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,10.000,0,1.000,64000.000,0.000,24.412,0.000,0.000,0.122
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,10.000,1,1.000,64000.000,0.000,24.447,0.000,0.000,0.122
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,10.000,2,1.000,64000.000,0.000,24.444,0.000,0.000,0.122
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,10.000,0,1.000,64000.000,0.007,24.078,0.000,0.000,0.120
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,10.000,1,1.000,64000.000,0.007,24.020,0.000,0.000,0.120
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,64000,40.000,10.000,2,1.000,64000.000,0.006,24.005,0.000,0.000,0.120
