GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10648.000,0.000,1.629,0.000,0.000,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,1,1.000,10648.000,0.000,1.561,0.000,0.000,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,2,1.000,10648.000,0.000,1.567,0.000,0.000,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,0,1.000,10648.000,0.298,0.720,0.000,0.000,0.004
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,1,1.000,10648.000,0.007,0.707,0.000,0.000,0.004
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,2,1.000,10648.000,0.007,0.705,0.000,0.000,0.004
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.147,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.142,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.148,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,0.307,0.088,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.006,0.085,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.006,0.089,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,19683,27.000,2.000,0,1.000,19683.000,0.000,2.493,0.000,0.000,0.012
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,19683,27.000,2.000,1,1.000,19683.000,0.000,2.495,0.000,0.000,0.012
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,19683,27.000,2.000,2,1.000,19683.000,0.000,2.489,0.000,0.000,0.012
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,0,1.000,19683.000,0.007,1.041,0.000,0.000,0.005
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,1,1.000,19683.000,0.006,1.042,0.000,0.000,0.005
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,2,1.000,19683.000,0.006,1.039,0.000,0.000,0.005
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.150,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.143,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,19683,27.000,2.000,2,1.000,187.777,0.000,0.146,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,0,1.000,188.485,0.007,0.087,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,1,1.000,191.363,0.007,0.084,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,2,1.000,187.777,0.007,0.087,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,29791,31.000,2.000,0,1.000,29791.000,0.000,3.507,0.000,0.000,0.018
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,29791,31.000,2.000,1,1.000,29791.000,0.000,3.511,0.000,0.000,0.018
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,29791,31.000,2.000,2,1.000,29791.000,0.000,3.531,0.000,0.000,0.018
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,0,1.000,29791.000,0.007,1.446,0.000,0.000,0.007
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,1,1.000,29791.000,0.006,1.446,0.000,0.000,0.007
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,2,1.000,29791.000,0.006,1.448,0.000,0.000,0.007
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,29791,31.000,2.000,0,1.000,190.947,0.000,0.148,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,29791,31.000,2.000,1,1.000,191.559,0.000,0.159,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,29791,31.000,2.000,2,1.000,191.369,0.000,0.150,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,0,1.000,190.947,0.007,0.091,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,1,1.000,191.559,0.007,0.092,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,2,1.000,191.369,0.007,0.091,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,39304,34.000,2.000,0,1.000,39304.000,0.000,4.846,0.000,0.000,0.024
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,39304,34.000,2.000,1,1.000,39304.000,0.000,4.847,0.000,0.000,0.024
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,39304,34.000,2.000,2,1.000,39304.000,0.000,4.848,0.000,0.000,0.024
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,39304,34.000,2.000,0,1.000,39304.000,0.007,1.854,0.000,0.000,0.009
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,39304,34.000,2.000,1,1.000,39304.000,0.006,1.856,0.000,0.000,0.009
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,39304,34.000,2.000,2,1.000,39304.000,0.006,1.868,0.000,0.000,0.009
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,39304,34.000,2.000,0,1.000,207.242,0.000,0.157,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,39304,34.000,2.000,1,1.000,207.567,0.000,0.155,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,39304,34.000,2.000,2,1.000,208.122,0.000,0.157,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,39304,34.000,2.000,0,1.000,207.242,0.007,0.095,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,39304,34.000,2.000,1,1.000,207.567,0.007,0.097,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,39304,34.000,2.000,2,1.000,208.122,0.007,0.094,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,50653,37.000,2.000,0,1.000,50653.000,0.000,7.448,0.000,0.000,0.037
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,50653,37.000,2.000,1,1.000,50653.000,0.000,7.474,0.000,0.000,0.037
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,50653,37.000,2.000,2,1.000,50653.000,0.000,7.461,0.000,0.000,0.037
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,0,1.000,50653.000,0.007,2.419,0.000,0.000,0.012
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,1,1.000,50653.000,0.006,2.422,0.000,0.000,0.012
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,2,1.000,50653.000,0.006,2.422,0.000,0.000,0.012
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,50653,37.000,2.000,0,1.000,194.729,0.000,0.163,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,50653,37.000,2.000,1,1.000,195.591,0.000,0.155,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,50653,37.000,2.000,2,1.000,193.307,0.000,0.152,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,50653,37.000,2.000,0,1.000,194.729,0.007,0.098,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,50653,37.000,2.000,1,1.000,195.591,0.007,0.094,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,50653,37.000,2.000,2,1.000,193.307,0.007,0.091,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,59319,39.000,2.000,0,1.000,59319.000,0.000,8.793,0.000,0.000,0.044
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,59319,39.000,2.000,1,1.000,59319.000,0.000,8.797,0.000,0.000,0.044
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,59319,39.000,2.000,2,1.000,59319.000,0.000,8.782,0.000,0.000,0.044
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,0,1.000,59319.000,0.007,4.643,0.000,0.000,0.023
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,1,1.000,59319.000,0.007,4.648,0.000,0.000,0.023
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,2,1.000,59319.000,0.006,4.651,0.000,0.000,0.023
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,59319,39.000,2.000,0,1.000,196.468,0.000,0.163,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,59319,39.000,2.000,1,1.000,197.342,0.000,0.160,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,59319,39.000,2.000,2,1.000,195.093,0.000,0.158,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,59319,39.000,2.000,0,1.000,196.468,0.007,0.138,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,59319,39.000,2.000,1,1.000,197.342,0.007,0.140,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,59319,39.000,2.000,2,1.000,195.093,0.007,0.141,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,68921,41.000,2.000,0,1.000,68921.000,0.000,10.355,0.000,0.000,0.052
