GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.150,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.145,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.149,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,0.006,0.088,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.007,0.085,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.006,0.088,0.000,0.000,0.000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,21296,22.000,2.000,0,2.000,414.338,0.000,0.253,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,21296,22.000,2.000,1,2.000,414.247,0.000,0.258,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,21296,22.000,2.000,2,2.000,409.749,0.000,0.259,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,0,2.000,414.338,0.006,0.149,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,1,2.000,414.247,0.006,0.149,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,2,2.000,409.749,0.006,0.151,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,31944,22.000,2.000,0,3.000,615.288,0.000,0.373,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,31944,22.000,2.000,1,3.000,617.783,0.000,0.364,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,31944,22.000,2.000,2,3.000,610.684,0.000,0.371,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,0,3.000,615.287,0.006,0.212,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,1,3.000,617.783,0.006,0.205,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,2,3.000,610.684,0.006,0.213,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,42592,22.000,2.000,0,4.000,817.361,0.000,0.486,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,42592,22.000,2.000,1,4.000,827.121,0.000,0.477,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,42592,22.000,2.000,2,4.000,814.049,0.000,0.490,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,0,4.000,817.361,0.006,0.269,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,1,4.000,827.121,0.006,0.268,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,2,4.000,814.049,0.006,0.269,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.151,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.145,0.000,0.000,0.001
