GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,step,s_step
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,0,0.043866
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,1,0.044102
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,2,0.044009
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,3,0.046048
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,4,0.046042
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,5,0.046037
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,6,0.046040
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,7,0.044103
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,8,0.043556
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,9,0.043569
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,10,0.043818
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,11,0.044115
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,12,0.043539
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,13,0.043017
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,14,0.043708
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,15,0.043961
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,16,0.044243
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,17,0.044115
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,18,0.043704
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,19,0.042906
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,20,0.043245
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,21,0.043810
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,22,0.043665
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,23,0.043388
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,24,0.043532
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,25,0.042991
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,26,0.043024
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,27,0.043907
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,28,0.044088
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,29,0.043696
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,30,0.043139
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,31,0.043795
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,32,0.043786
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,33,0.044327
