GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.008408,0.000000,0.000000,0.005032
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,0.955153,0.000000,0.000000,0.004767
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,0.953966,0.000000,0.000000,0.004761
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,6.403000,0.496989,0.000000,0.000000,0.002476
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.008000,0.480797,0.000000,0.000000,0.002395
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.008000,0.456527,0.000000,0.000000,0.002274
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.060904,0.000000,0.000000,0.000295
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.063282,0.000000,0.000000,0.000307
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.063174,0.000000,0.000000,0.000307
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,6.294000,0.050309,0.000000,0.000000,0.000242
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.008000,0.051632,0.000000,0.000000,0.000249
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.008000,0.050868,0.000000,0.000000,0.000245
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,1.783096,0.000000,0.000000,0.008907
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,1.725847,0.000000,0.000000,0.008621
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,1.725406,0.000000,0.000000,0.008618
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.008000,0.774734,0.000000,0.000000,0.003865
