GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318497,0.000000,0.201763,0.000000,0.000000,0.001000
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.000000,0.212561,0.000000,0.000000,0.001054
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824356,0.000000,0.213250,0.000000,0.000000,0.001057
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318497,0.008000,0.176513,0.000000,0.000000,0.000873
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.008000,0.175500,0.000000,0.000000,0.000868
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824341,0.008000,0.176064,0.000000,0.000000,0.000871
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799194,0.000000,1.168114,0.000000,0.000000,0.005831
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,1.169990,0.000000,0.000000,0.005841
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,1.166411,0.000000,0.000000,0.005823
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.008000,0.994800,0.000000,0.000000,0.004965
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.008000,1.000531,0.000000,0.000000,0.004993
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.008000,0.990247,0.000000,0.000000,0.004942
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.000000,2.751506,0.000000,0.000000,0.013748
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.000000,2.762649,0.000000,0.000000,0.013804
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,3716.738525,0.000000,2.748155,0.000000,0.000000,0.013731
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,3728.161865,0.009000,2.419613,0.000000,0.000000,0.012088
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.009000,2.448227,0.000000,0.000000,0.012231
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,3716.738525,0.009000,2.373218,0.000000,0.000000,0.011857
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,5.521516,0.000000,0.000000,0.027598
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.000000,5.495262,0.000000,0.000000,0.027467
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.000000,5.530978,0.000000,0.000000,0.027645
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.009000,4.294942,0.000000,0.000000,0.021465
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.009000,4.259707,0.000000,0.000000,0.021289
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.009000,4.327765,0.000000,0.000000,0.021629
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.000000,0.085808,0.000000,0.000000,0.000420
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.086897,0.000000,0.000000,0.000425
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.000000,0.094368,0.000000,0.000000,0.000462
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.008000,0.078874,0.000000,0.000000,0.000385
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.008000,0.079407,0.000000,0.000000,0.000387
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.008000,0.078720,0.000000,0.000000,0.000384
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.393937,0.000000,0.000000,0.001960
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.389789,0.000000,0.000000,0.001940
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.391039,0.000000,0.000000,0.001946
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.008000,0.308382,0.000000,0.000000,0.001532
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.008000,0.308083,0.000000,0.000000,0.001531
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.008000,0.310542,0.000000,0.000000,0.001543
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.000000,0.987430,0.000000,0.000000,0.004928
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,0.936069,0.000000,0.000000,0.004671
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738525,0.000000,0.937915,0.000000,0.000000,0.004680
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.009000,0.758530,0.000000,0.000000,0.003783
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.008000,0.760416,0.000000,0.000000,0.003792
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.738037,0.008000,0.757982,0.000000,0.000000,0.003780
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.430038,0.000000,0.000000,0.012141
