GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.063634,0.000000,0.000000,0.000309
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.065936,0.000000,0.000000,0.000320
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.065790,0.000000,0.000000,0.000320
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.009000,0.049287,0.000000,0.000000,0.000237
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.008000,0.051758,0.000000,0.000000,0.000249
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.008000,0.051143,0.000000,0.000000,0.000246
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698151,0.000000,0.106308,0.000000,0.000000,0.000522
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086731,0.000000,0.104082,0.000000,0.000000,0.000511
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013702,0.000000,0.107077,0.000000,0.000000,0.000526
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.008000,0.075265,0.000000,0.000000,0.000367
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086884,0.008000,0.074002,0.000000,0.000000,0.000360
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.008000,0.075118,0.000000,0.000000,0.000366
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.146750,0.000000,0.000000,0.000724
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454468,0.000000,0.145189,0.000000,0.000000,0.000717
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948364,0.000000,0.144926,0.000000,0.000000,0.000715
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.008000,0.100726,0.000000,0.000000,0.000494
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454590,0.008000,0.100047,0.000000,0.000000,0.000491
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948181,0.008000,0.100405,0.000000,0.000000,0.000492
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.000000,0.187184,0.000000,0.000000,0.000927
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250732,0.000000,0.202580,0.000000,0.000000,0.001004
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,2,4.000000,725.077942,0.000000,0.200442,0.000000,0.000000,0.000993
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.008000,0.123796,0.000000,0.000000,0.000609
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,1,4.000000,728.250610,0.008000,0.123829,0.000000,0.000000,0.000610
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,2,4.000000,725.077942,0.008000,0.124516,0.000000,0.000000,0.000613
