GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.387924,0.000000,0.000000,0.006924
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.374158,0.000000,0.000000,0.006855
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.370747,0.000000,0.000000,0.006838
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,2.329000,0.739879,0.000000,0.000000,0.003683
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.017000,0.726868,0.000000,0.000000,0.003619
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.012000,0.724131,0.000000,0.000000,0.003605
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.085935,0.000000,0.000000,0.000413
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.088434,0.000000,0.000000,0.000427
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.088758,0.000000,0.000000,0.000426
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,2.261000,0.070817,0.000000,0.000000,0.000334
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.017000,0.066684,0.000000,0.000000,0.000315
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.012000,0.065500,0.000000,0.000000,0.000312
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,2.416315,0.000000,0.000000,0.012066
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,2.414922,0.000000,0.000000,0.012059
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,2.418519,0.000000,0.000000,0.012076
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.012000,1.228089,0.000000,0.000000,0.006125
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.011000,1.227762,0.000000,0.000000,0.006122
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.011000,1.228454,0.000000,0.000000,0.006126
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002365,0.000000,0.085380,0.000000,0.000000,0.000412
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659805,0.000000,0.087012,0.000000,0.000000,0.000417
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.000000,0.084881,0.000000,0.000000,0.000409
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002380,0.012000,0.064052,0.000000,0.000000,0.000305
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.012000,0.064895,0.000000,0.000000,0.000308
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981262,0.011000,0.063910,0.000000,0.000000,0.000304
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,3.609626,0.000000,0.000000,0.018031
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,3.609381,0.000000,0.000000,0.018031
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,3.607976,0.000000,0.000000,0.018024
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.013000,1.803590,0.000000,0.000000,0.009002
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.012000,1.801838,0.000000,0.000000,0.008993
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.012000,1.799230,0.000000,0.000000,0.008980
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.077988,0.000000,0.089516,0.000000,0.000000,0.000432
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.000000,0.089466,0.000000,0.000000,0.000432
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741486,0.000000,0.089093,0.000000,0.000000,0.000430
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.013000,0.067952,0.000000,0.000000,0.000324
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883118,0.011000,0.067295,0.000000,0.000000,0.000321
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741501,0.011000,0.068136,0.000000,0.000000,0.000325
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.000000,4.732681,0.000000,0.000000,0.023646
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.000000,4.726548,0.000000,0.000000,0.023617
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.000000,4.723523,0.000000,0.000000,0.023602
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.012000,2.342859,0.000000,0.000000,0.011698
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.012000,2.342109,0.000000,0.000000,0.011695
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.012000,2.339400,0.000000,0.000000,0.011681
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.000000,0.098149,0.000000,0.000000,0.000474
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586166,0.000000,0.094146,0.000000,0.000000,0.000456
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105804,0.000000,0.096131,0.000000,0.000000,0.000464
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212479,0.012000,0.073911,0.000000,0.000000,0.000354
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1,1.000000,191.586166,0.011000,0.072764,0.000000,0.000000,0.000346
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,2,1.000000,190.105774,0.011000,0.073526,0.000000,0.000000,0.000352
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.000000,6.059269,0.000000,0.000000,0.030280
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.000000,6.050996,0.000000,0.000000,0.030239
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,2,1.000000,50653.000000,0.000000,6.051100,0.000000,0.000000,0.030239
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.012000,2.985323,0.000000,0.000000,0.014911
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.011000,2.984493,0.000000,0.000000,0.014906
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,2,1.000000,50653.000000,0.011000,2.986507,0.000000,0.000000,0.014916
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,0,1.000000,178.705032,0.000000,0.097883,0.000000,0.000000,0.000473
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,1,1.000000,179.075256,0.000000,0.095646,0.000000,0.000000,0.000461
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,2,1.000000,177.816422,0.000000,0.096876,0.000000,0.000000,0.000468
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,0,1.000000,178.705093,0.012000,0.074192,0.000000,0.000000,0.000356
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,1,1.000000,179.075272,0.011000,0.073815,0.000000,0.000000,0.000354
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,2,1.000000,177.816422,0.011000,0.073291,0.000000,0.000000,0.000351
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,0,1.000000,59319.000000,0.000000,7.078311,0.000000,0.000000,0.035373
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,1,1.000000,59319.000000,0.000000,7.076799,0.000000,0.000000,0.035368
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,2,1.000000,59319.000000,0.000000,7.077816,0.000000,0.000000,0.035371
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,0,1.000000,59319.000000,0.012000,3.488882,0.000000,0.000000,0.017428
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,1,1.000000,59319.000000,0.011000,3.488169,0.000000,0.000000,0.017425
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,2,1.000000,59319.000000,0.012000,3.487245,0.000000,0.000000,0.017420
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,0,1.000000,180.564438,0.000000,0.095202,0.000000,0.000000,0.000461
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,1,1.000000,180.697479,0.000000,0.095113,0.000000,0.000000,0.000460
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,2,1.000000,179.701508,0.000000,0.096848,0.000000,0.000000,0.000469
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,0,1.000000,180.564438,0.012000,0.073555,0.000000,0.000000,0.000353
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,1,1.000000,180.697449,0.011000,0.073272,0.000000,0.000000,0.000351
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1,2,1.000000,179.701523,0.011000,0.074444,0.000000,0.000000,0.000357
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1,0,1.000000,68921.000000,0.000000,8.216353,0.000000,0.000000,0.041065
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1,1,1.000000,68921.000000,0.000000,8.215651,0.000000,0.000000,0.041062
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1,2,1.000000,68921.000000,0.000000,8.217381,0.000000,0.000000,0.041071
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1,0,1.000000,68921.000000,0.012000,4.047699,0.000000,0.000000,0.020221
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1,1,1.000000,68921.000000,0.011000,4.045954,0.000000,0.000000,0.020214
