GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.085845,0.000000,0.000000,0.000415
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.088027,0.000000,0.000000,0.000426
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351868,0.000000,0.088207,0.000000,0.000000,0.000427
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.011000,0.063671,0.000000,0.000000,0.000304
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.012000,0.065630,0.000000,0.000000,0.000314
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351898,0.011000,0.065316,0.000000,0.000000,0.000312
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698151,0.000000,0.138749,0.000000,0.000000,0.000679
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086731,0.000000,0.135691,0.000000,0.000000,0.000664
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.000000,0.140042,0.000000,0.000000,0.000685
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698273,0.012000,0.099543,0.000000,0.000000,0.000483
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086823,0.011000,0.095849,0.000000,0.000000,0.000465
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.011000,0.098229,0.000000,0.000000,0.000476
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.190372,0.000000,0.000000,0.000937
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454529,0.000000,0.189446,0.000000,0.000000,0.000933
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.000000,0.188953,0.000000,0.000000,0.000930
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464111,0.011000,0.130541,0.000000,0.000000,0.000638
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454346,0.011000,0.128780,0.000000,0.000000,0.000629
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948425,0.011000,0.130388,0.000000,0.000000,0.000637
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.163757,0.000000,0.238879,0.000000,0.000000,0.001180
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250793,0.000000,0.240878,0.000000,0.000000,0.001190
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,2,4.000000,725.077942,0.000000,0.239908,0.000000,0.000000,0.001184
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,0,4.000000,722.163757,0.011000,0.161019,0.000000,0.000000,0.000790
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,1,4.000000,728.250610,0.011000,0.161293,0.000000,0.000000,0.000792
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,2,4.000000,725.077942,0.011000,0.162202,0.000000,0.000000,0.000796
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002350,0.000000,0.084819,0.000000,0.000000,0.000410
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659821,0.000000,0.086409,0.000000,0.000000,0.000418
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981293,0.000000,0.084280,0.000000,0.000000,0.000407
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002380,0.012000,0.064293,0.000000,0.000000,0.000307
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.011000,0.064664,0.000000,0.000000,0.000308
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.011000,0.064273,0.000000,0.000000,0.000307
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,0,2.000000,337.074066,0.000000,0.134895,0.000000,0.000000,0.000660
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,1,2.000000,339.731842,0.000000,0.136715,0.000000,0.000000,0.000669
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,2,2.000000,338.212372,0.000000,0.136518,0.000000,0.000000,0.000668
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,0,2.000000,337.074066,0.012000,0.094897,0.000000,0.000000,0.000460
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,1,2.000000,339.731873,0.011000,0.095249,0.000000,0.000000,0.000462
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,2,2.000000,338.212433,0.011000,0.097194,0.000000,0.000000,0.000471
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,0,3.000000,506.241211,0.000000,0.181195,0.000000,0.000000,0.000891
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,1,3.000000,509.894379,0.000000,0.186713,0.000000,0.000000,0.000918
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,2,3.000000,505.589417,0.000000,0.184509,0.000000,0.000000,0.000908
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,0,3.000000,506.241211,0.011000,0.124684,0.000000,0.000000,0.000609
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,1,3.000000,509.894379,0.011000,0.127905,0.000000,0.000000,0.000625
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,2,3.000000,505.589386,0.011000,0.126541,0.000000,0.000000,0.000618
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78732,27.000000,2.000000,1,0,4.000000,676.310852,0.000000,0.288994,0.000000,0.000000,0.001430
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78732,27.000000,2.000000,1,1,4.000000,681.427979,0.000000,0.295464,0.000000,0.000000,0.001463
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78732,27.000000,2.000000,1,2,4.000000,677.363220,0.000000,0.286798,0.000000,0.000000,0.001419
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,1,0,4.000000,676.310852,0.011000,0.225526,0.000000,0.000000,0.001113
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,1,1,4.000000,681.428101,0.011000,0.231215,0.000000,0.000000,0.001141
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,1,2,4.000000,677.363281,0.011000,0.222977,0.000000,0.000000,0.001100
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.000000,0.089434,0.000000,0.000000,0.000433
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.000000,0.089335,0.000000,0.000000,0.000432
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.000000,0.088730,0.000000,0.000000,0.000429
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.011000,0.068022,0.000000,0.000000,0.000325
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.011000,0.066992,0.000000,0.000000,0.000320
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.011000,0.068163,0.000000,0.000000,0.000326
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59582,31.000000,2.000000,1,0,2.000000,346.170624,0.000000,0.137016,0.000000,0.000000,0.000670
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59582,31.000000,2.000000,1,1,2.000000,348.512299,0.000000,0.138517,0.000000,0.000000,0.000678
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59582,31.000000,2.000000,1,2,2.000000,345.474854,0.000000,0.139476,0.000000,0.000000,0.000683
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,1,0,2.000000,346.170654,0.011000,0.097400,0.000000,0.000000,0.000472
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,1,1,2.000000,348.512299,0.011000,0.098301,0.000000,0.000000,0.000477
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,1,2,2.000000,345.474854,0.011000,0.100670,0.000000,0.000000,0.000482
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,89373,31.000000,2.000000,1,0,3.000000,519.988220,0.000000,0.239861,0.000000,0.000000,0.001184
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,89373,31.000000,2.000000,1,1,3.000000,523.680908,0.000000,0.235483,0.000000,0.000000,0.001163
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,89373,31.000000,2.000000,1,2,3.000000,518.879211,0.000000,0.233912,0.000000,0.000000,0.001155
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,1,0,3.000000,519.988281,0.011000,0.191326,0.000000,0.000000,0.000942
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,1,1,3.000000,523.680908,0.011000,0.189991,0.000000,0.000000,0.000935
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,1,2,3.000000,518.879150,0.011000,0.188815,0.000000,0.000000,0.000929
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,119164,31.000000,2.000000,1,0,4.000000,695.304321,0.000000,0.304891,0.000000,0.000000,0.001510
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,119164,31.000000,2.000000,1,1,4.000000,699.568665,0.000000,0.306206,0.000000,0.000000,0.001516
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,119164,31.000000,2.000000,1,2,4.000000,694.979248,0.000000,0.302974,0.000000,0.000000,0.001499
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,119164,31.000000,2.000000,1,0,4.000000,695.304138,0.011000,0.249905,0.000000,0.000000,0.001234
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,119164,31.000000,2.000000,1,1,4.000000,699.568665,0.011000,0.244821,0.000000,0.000000,0.001209
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,119164,31.000000,2.000000,1,2,4.000000,694.979248,0.011000,0.243742,0.000000,0.000000,0.001204
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.000000,0.097690,0.000000,0.000000,0.000474
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586227,0.000000,0.094235,0.000000,0.000000,0.000457
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105804,0.000000,0.095351,0.000000,0.000000,0.000462
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212524,0.011000,0.075748,0.000000,0.000000,0.000363
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1,1.000000,191.586151,0.011000,0.072222,0.000000,0.000000,0.000346
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,2,1.000000,190.105743,0.011000,0.073197,0.000000,0.000000,0.000351
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78608,34.000000,2.000000,1,0,2.000000,381.348938,0.000000,0.184315,0.000000,0.000000,0.000907
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78608,34.000000,2.000000,1,1,2.000000,383.449677,0.000000,0.184761,0.000000,0.000000,0.000909
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78608,34.000000,2.000000,1,2,2.000000,379.425903,0.000000,0.180888,0.000000,0.000000,0.000890
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,78608,34.000000,2.000000,1,0,2.000000,381.348816,0.011000,0.148785,0.000000,0.000000,0.000729
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,78608,34.000000,2.000000,1,1,2.000000,383.449677,0.011000,0.150266,0.000000,0.000000,0.000737
