GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.331816,0.000000,0.000000,0.006641
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.325728,0.000000,0.000000,0.006611
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.322062,0.000000,0.000000,0.006594
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,5.464000,0.737743,0.000000,0.000000,0.003670
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.010000,0.720260,0.000000,0.000000,0.003584
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.010000,0.715835,0.000000,0.000000,0.003563
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.082212,0.000000,0.000000,0.000394
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.082279,0.000000,0.000000,0.000395
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.082467,0.000000,0.000000,0.000396
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,5.165000,0.067886,0.000000,0.000000,0.000322
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.011000,0.071527,0.000000,0.000000,0.000340
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.009000,0.067282,0.000000,0.000000,0.000319
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,2.358111,0.000000,0.000000,0.011774
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,2.358402,0.000000,0.000000,0.011775
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,2.358045,0.000000,0.000000,0.011773
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.011000,1.221723,0.000000,0.000000,0.006092
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.010000,1.223015,0.000000,0.000000,0.006098
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.010000,1.222513,0.000000,0.000000,0.006096
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002365,0.000000,0.079463,0.000000,0.000000,0.000381
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659821,0.000000,0.083131,0.000000,0.000000,0.000398
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.000000,0.081507,0.000000,0.000000,0.000391
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002350,0.010000,0.062588,0.000000,0.000000,0.000296
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659805,0.009000,0.062262,0.000000,0.000000,0.000295
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.009000,0.062942,0.000000,0.000000,0.000297
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,3.536555,0.000000,0.000000,0.017666
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,3.535917,0.000000,0.000000,0.017663
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,3.535325,0.000000,0.000000,0.017660
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.012000,1.798463,0.000000,0.000000,0.008976
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.009000,1.795302,0.000000,0.000000,0.008960
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.008000,1.795484,0.000000,0.000000,0.008961
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.077972,0.000000,0.086249,0.000000,0.000000,0.000414
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883087,0.000000,0.084061,0.000000,0.000000,0.000404
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741516,0.000000,0.082534,0.000000,0.000000,0.000397
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.011000,0.066358,0.000000,0.000000,0.000315
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.009000,0.065210,0.000000,0.000000,0.000309
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.008000,0.065548,0.000000,0.000000,0.000311
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.000000,4.651763,0.000000,0.000000,0.023242
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.000000,4.652680,0.000000,0.000000,0.023246
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.000000,4.652308,0.000000,0.000000,0.023244
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.010000,2.342391,0.000000,0.000000,0.011695
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.010000,2.342849,0.000000,0.000000,0.011697
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.009000,2.342898,0.000000,0.000000,0.011698
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212524,0.000000,0.091089,0.000000,0.000000,0.000439
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586151,0.000000,0.089300,0.000000,0.000000,0.000430
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105804,0.000000,0.091865,0.000000,0.000000,0.000443
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.009000,0.071939,0.000000,0.000000,0.000344
