GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.081519,0.000000,0.000000,0.000391
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.083762,0.000000,0.000000,0.000402
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.082425,0.000000,0.000000,0.000395
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.009000,0.061959,0.000000,0.000000,0.000293
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.008000,0.064569,0.000000,0.000000,0.000306
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.009000,0.064470,0.000000,0.000000,0.000301
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.000000,0.128761,0.000000,0.000000,0.000627
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086792,0.000000,0.125362,0.000000,0.000000,0.000611
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.000000,0.129938,0.000000,0.000000,0.000633
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.009000,0.093227,0.000000,0.000000,0.000449
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086731,0.008000,0.091688,0.000000,0.000000,0.000442
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.009000,0.093880,0.000000,0.000000,0.000453
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.174123,0.000000,0.000000,0.000855
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454468,0.000000,0.173799,0.000000,0.000000,0.000852
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948425,0.000000,0.171741,0.000000,0.000000,0.000843
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.010000,0.123001,0.000000,0.000000,0.000599
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454346,0.009000,0.121925,0.000000,0.000000,0.000593
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948425,0.009000,0.122121,0.000000,0.000000,0.000594
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.164001,0.000000,0.216571,0.000000,0.000000,0.001067
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250732,0.000000,0.219331,0.000000,0.000000,0.001080
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,2,4.000000,725.078064,0.000000,0.217760,0.000000,0.000000,0.001073
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.011000,0.151058,0.000000,0.000000,0.000739
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,1,4.000000,728.250793,0.009000,0.152472,0.000000,0.000000,0.000746
