GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.320966,0.000000,0.000000,0.006589
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.320049,0.000000,0.000000,0.006585
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.318232,0.000000,0.000000,0.006576
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,5.141000,0.741308,0.000000,0.000000,0.003691
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.009000,0.717203,0.000000,0.000000,0.003571
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.009000,0.714606,0.000000,0.000000,0.003558
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.078477,0.000000,0.000000,0.000378
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.427017,0.000000,0.081152,0.000000,0.000000,0.000391
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.080947,0.000000,0.000000,0.000390
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,5.081000,0.066991,0.000000,0.000000,0.000318
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.009000,0.068821,0.000000,0.000000,0.000328
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.009000,0.062432,0.000000,0.000000,0.000297
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,2.355912,0.000000,0.000000,0.011764
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,2.357943,0.000000,0.000000,0.011774
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,2.356340,0.000000,0.000000,0.011766
