GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.078781,0.000000,0.000000,0.000379
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.081247,0.000000,0.000000,0.000391
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.080844,0.000000,0.000000,0.000389
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.009000,0.060726,0.000000,0.000000,0.000289
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.009000,0.063255,0.000000,0.000000,0.000301
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.009000,0.062215,0.000000,0.000000,0.000296
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.000000,0.126484,0.000000,0.000000,0.000617
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086792,0.000000,0.123823,0.000000,0.000000,0.000604
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.000000,0.127812,0.000000,0.000000,0.000624
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698273,0.009000,0.091651,0.000000,0.000000,0.000443
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086823,0.009000,0.090238,0.000000,0.000000,0.000436
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.009000,0.092570,0.000000,0.000000,0.000448
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.172045,0.000000,0.000000,0.000845
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454285,0.000000,0.171123,0.000000,0.000000,0.000840
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948425,0.000000,0.170547,0.000000,0.000000,0.000838
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464111,0.009000,0.121441,0.000000,0.000000,0.000592
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454468,0.009000,0.120820,0.000000,0.000000,0.000589
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948364,0.009000,0.120638,0.000000,0.000000,0.000588
