GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,7.574782,0.000000,0.000000,0.037854
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,7.576946,0.000000,0.000000,0.037858
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,7.577032,0.000000,0.000000,0.037863
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.002000,3.211726,0.000000,0.000000,0.016031
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.001000,3.209588,0.000000,0.000000,0.016027
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.002000,3.210819,0.000000,0.000000,0.016027
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.000000,0.096950,0.000000,0.000000,0.000459
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.096338,0.000000,0.000000,0.000461
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.000000,0.098787,0.000000,0.000000,0.000474
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.002000,0.079044,0.000000,0.000000,0.000375
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.001000,0.080681,0.000000,0.000000,0.000376
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.001000,0.079586,0.000000,0.000000,0.000377
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,7.866305,0.000000,0.000000,0.039311
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,7.875103,0.000000,0.000000,0.039355
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,7.866979,0.000000,0.000000,0.039307
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.002000,3.439951,0.000000,0.000000,0.017179
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.001000,3.453751,0.000000,0.000000,0.017248
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.001000,3.445625,0.000000,0.000000,0.017200
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.370331,0.000000,0.000000,0.001832
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.369086,0.000000,0.000000,0.001826
