GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.350063,0.000000,0.000000,0.006729
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.324848,0.000000,0.000000,0.006597
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.322559,0.000000,0.000000,0.006586
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,2.119000,0.606089,0.000000,0.000000,0.003009
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.002000,0.590943,0.000000,0.000000,0.002935
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.001000,0.591336,0.000000,0.000000,0.002929
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.084184,0.000000,0.000000,0.000400
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.087740,0.000000,0.000000,0.000412
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.085191,0.000000,0.000000,0.000406
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,1.955000,0.073086,0.000000,0.000000,0.000343
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.001000,0.074625,0.000000,0.000000,0.000351
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.001000,0.067486,0.000000,0.000000,0.000317
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,2.363217,0.000000,0.000000,0.011795
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,2.365515,0.000000,0.000000,0.011807
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,2.365044,0.000000,0.000000,0.011799
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.003000,1.012794,0.000000,0.000000,0.005044
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.001000,1.015181,0.000000,0.000000,0.005050
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.001000,1.015495,0.000000,0.000000,0.005051
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,186.892166,0.000000,0.093490,0.000000,0.000000,0.000441
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,189.120621,0.000000,0.092680,0.000000,0.000000,0.000443
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,186.042114,0.000000,0.093267,0.000000,0.000000,0.000446
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,186.892166,0.002000,0.073081,0.000000,0.000000,0.000345
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,189.120529,0.001000,0.073209,0.000000,0.000000,0.000346
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,186.042145,0.001000,0.074802,0.000000,0.000000,0.000347
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,3.547523,0.000000,0.000000,0.017717
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,3.547676,0.000000,0.000000,0.017711
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,3.546772,0.000000,0.000000,0.017713
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.003000,1.511298,0.000000,0.000000,0.007530
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.002000,1.510051,0.000000,0.000000,0.007530
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.002000,1.510330,0.000000,0.000000,0.007525
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,191.438614,0.000000,0.093510,0.000000,0.000000,0.000447
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,190.874084,0.000000,0.095807,0.000000,0.000000,0.000459
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,190.805954,0.000000,0.094950,0.000000,0.000000,0.000455
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,191.438660,0.002000,0.074791,0.000000,0.000000,0.000354
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,190.874084,0.001000,0.076284,0.000000,0.000000,0.000361
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,190.805939,0.001000,0.075248,0.000000,0.000000,0.000356
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.000000,4.665480,0.000000,0.000000,0.023307
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.000000,4.669251,0.000000,0.000000,0.023319
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.000000,4.668281,0.000000,0.000000,0.023314
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.002000,1.981965,0.000000,0.000000,0.009888
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.002000,1.981424,0.000000,0.000000,0.009886
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.002000,1.982026,0.000000,0.000000,0.009889
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.000000,0.094762,0.000000,0.000000,0.000454
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586136,0.000000,0.092932,0.000000,0.000000,0.000437
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105743,0.000000,0.092692,0.000000,0.000000,0.000444
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212479,0.002000,0.076111,0.000000,0.000000,0.000360
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1,1.000000,191.586166,0.001000,0.074066,0.000000,0.000000,0.000350
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,2,1.000000,190.105774,0.002000,0.074424,0.000000,0.000000,0.000352
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.000000,6.003918,0.000000,0.000000,0.029999
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.000000,6.002947,0.000000,0.000000,0.029994
