GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.000000,0.163644,0.000000,0.000000,0.000799
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070267,0.000000,0.162895,0.000000,0.000000,0.000796
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824356,0.000000,0.164566,0.000000,0.000000,0.000804
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318497,0.002000,0.138781,0.000000,0.000000,0.000668
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.002000,0.136649,0.000000,0.000000,0.000663
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824310,0.002000,0.139198,0.000000,0.000000,0.000676
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.000000,0.850954,0.000000,0.000000,0.004235
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,0.843117,0.000000,0.000000,0.004189
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,0.846195,0.000000,0.000000,0.004203
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.002000,0.616460,0.000000,0.000000,0.003055
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.002000,0.598676,0.000000,0.000000,0.002974
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.002000,0.624930,0.000000,0.000000,0.003098
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,4195.581055,0.000000,2.031782,0.000000,0.000000,0.010131
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,4183.131836,0.000000,1.994592,0.000000,0.000000,0.009952
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,4172.043945,0.000000,2.010908,0.000000,0.000000,0.010033
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,4195.581055,0.002000,1.470021,0.000000,0.000000,0.007329
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,4183.131836,0.002000,1.477486,0.000000,0.000000,0.007360
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,4172.043945,0.002000,1.497498,0.000000,0.000000,0.007467
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,3.895942,0.000000,0.000000,0.019452
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.000000,3.926589,0.000000,0.000000,0.019612
