GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.083019,0.000000,0.000000,0.000396
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.086252,0.000000,0.000000,0.000412
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.084282,0.000000,0.000000,0.000403
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.002000,0.066335,0.000000,0.000000,0.000311
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.001000,0.068552,0.000000,0.000000,0.000323
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.001000,0.067643,0.000000,0.000000,0.000318
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.000000,0.130913,0.000000,0.000000,0.000634
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086792,0.000000,0.128730,0.000000,0.000000,0.000624
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.000000,0.133253,0.000000,0.000000,0.000640
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.001000,0.096255,0.000000,0.000000,0.000462
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086761,0.001000,0.095097,0.000000,0.000000,0.000456
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.001000,0.097725,0.000000,0.000000,0.000468
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.176318,0.000000,0.000000,0.000862
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454407,0.000000,0.175342,0.000000,0.000000,0.000857
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.000000,0.175251,0.000000,0.000000,0.000857
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.001000,0.127216,0.000000,0.000000,0.000610
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454468,0.001000,0.125829,0.000000,0.000000,0.000610
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948181,0.001000,0.126474,0.000000,0.000000,0.000612
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.000000,0.220471,0.000000,0.000000,0.001083
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250732,0.000000,0.221626,0.000000,0.000000,0.001088
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,2,4.000000,725.077881,0.000000,0.221208,0.000000,0.000000,0.001085
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.002000,0.156794,0.000000,0.000000,0.000758
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,1,4.000000,728.250610,0.002000,0.156341,0.000000,0.000000,0.000762
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,2,4.000000,725.077942,0.002000,0.156183,0.000000,0.000000,0.000761
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,186.892166,0.000000,0.091260,0.000000,0.000000,0.000436
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,189.120590,0.000000,0.092790,0.000000,0.000000,0.000444
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,186.042084,0.000000,0.091564,0.000000,0.000000,0.000439
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,186.892166,0.003000,0.072617,0.000000,0.000000,0.000343
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,189.120544,0.002000,0.072863,0.000000,0.000000,0.000345
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,186.042114,0.002000,0.074982,0.000000,0.000000,0.000348
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,0,2.000000,375.302612,0.000000,0.141440,0.000000,0.000000,0.000688
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,1,2.000000,378.937653,0.000000,0.145673,0.000000,0.000000,0.000709
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,2,2.000000,376.673096,0.000000,0.145659,0.000000,0.000000,0.000708
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,0,2.000000,375.302612,0.002000,0.105938,0.000000,0.000000,0.000510
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,1,2.000000,378.937653,0.003000,0.106870,0.000000,0.000000,0.000514
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,2,2.000000,376.673035,0.002000,0.108182,0.000000,0.000000,0.000521
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,0,3.000000,563.538696,0.000000,0.193496,0.000000,0.000000,0.000947
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,1,3.000000,567.234314,0.000000,0.201590,0.000000,0.000000,0.000980
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,2,3.000000,563.784119,0.000000,0.201120,0.000000,0.000000,0.000986
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,0,3.000000,563.538696,0.002000,0.139030,0.000000,0.000000,0.000676
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,1,3.000000,567.234314,0.002000,0.142681,0.000000,0.000000,0.000693
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,2,3.000000,563.784058,0.002000,0.142283,0.000000,0.000000,0.000692
