GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,0,1.000,10648.000,0.003,1030.158,0.002,0.002,10.294
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,1,1.000,10648.000,0.002,1015.165,0.002,0.002,10.144
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,2,1.000,10648.000,0.003,1014.396,0.002,0.002,10.137
TITAN V,1,0,circles_bruteforce_rtc,100,10648,22.000,2.000,0,1.000,10648.000,8.042,484.805,0.002,0.002,4.841
TITAN V,1,0,circles_bruteforce_rtc,100,10648,22.000,2.000,1,1.000,10648.000,7.513,490.497,0.002,0.002,4.897
TITAN V,1,0,circles_bruteforce_rtc,100,10648,22.000,2.000,2,1.000,10648.000,7.560,486.152,0.002,0.002,4.854
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,187.127,0.003,78.925,0.002,0.032,0.782
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,189.607,0.002,81.636,0.002,0.059,0.808
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,187.533,0.002,78.839,0.002,0.029,0.781
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,187.127,8.269,60.030,0.002,0.028,0.593
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,1,1.000,189.607,7.617,61.293,0.002,0.030,0.605
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,2,1.000,187.533,7.593,60.115,0.002,0.029,0.593
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,0,1.000,19683.000,0.002,1658.905,0.002,0.002,16.581
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,1,1.000,19683.000,0.002,1659.497,0.002,0.002,16.587
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,2,1.000,19683.000,0.002,1659.787,0.002,0.002,16.590
TITAN V,1,0,circles_bruteforce_rtc,100,19683,27.000,2.000,0,1.000,19683.000,7.930,723.793,0.002,0.002,7.230
TITAN V,1,0,circles_bruteforce_rtc,100,19683,27.000,2.000,1,1.000,19683.000,7.552,725.981,0.002,0.002,7.252
TITAN V,1,0,circles_bruteforce_rtc,100,19683,27.000,2.000,2,1.000,19683.000,7.580,724.156,0.002,0.002,7.234
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,0,1.000,174.761,0.002,79.892,0.002,0.039,0.791
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,1,1.000,176.129,0.003,81.294,0.002,0.031,0.805
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,2,1.000,176.009,0.002,81.084,0.002,0.036,0.803
TITAN V,1,0,circles_spatial3D_rtc,100,19683,27.000,2.000,0,1.000,174.761,8.122,59.574,0.002,0.030,0.588
