GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,ms_step
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,0,17.561
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,1,11.726
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,2,11.724
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,3,11.730
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,4,11.525
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,5,10.965
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,6,10.954
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,7,10.962
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,8,10.967
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,9,10.979
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10,10.977
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,11,10.942
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,12,10.952
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,13,10.959
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,14,10.968
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,15,10.985
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,16,10.986
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,17,10.992
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,18,10.991
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,19,10.990
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,20,10.566
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,21,10.043
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,22,10.045
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,23,10.039
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,24,10.045
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,25,10.056
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,26,10.056
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,27,10.064
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,28,10.065
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,29,10.073
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,30,10.017
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,31,10.012
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,32,10.016
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,33,10.017
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,34,10.030
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,35,10.032
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,36,10.038
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,37,10.052
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,38,10.053
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,39,10.060
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,40,10.073
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,41,10.077
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,42,10.084
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,43,10.088
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,44,10.090
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,45,10.105
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,46,10.118
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,47,10.136
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,48,10.129
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,49,10.137
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,50,10.147
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,51,10.151
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,52,10.166
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,53,10.174
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,54,10.196
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,55,10.195
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,56,10.215
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,57,10.218
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,58,10.230
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,59,10.230
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,60,10.244
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,61,10.247
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,62,10.266
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,63,10.273
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,64,10.285
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,65,10.293
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,66,10.308
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,67,10.315
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,68,10.328
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,69,10.348
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,70,10.363
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,71,10.380
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,72,10.386
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,73,10.402
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,74,10.413
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,75,10.427
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,76,10.451
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,77,10.476
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,78,10.470
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,79,10.487
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,80,10.573
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,81,10.576
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,82,10.527
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,83,10.542
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,84,10.559
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,85,10.559
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,86,10.581
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,87,10.592
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,88,10.610
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,89,10.626
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,90,10.638
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,91,10.655
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,92,10.670
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,93,10.681
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,94,10.706
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,95,10.725
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,96,10.739
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,97,10.756
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,98,10.778
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,99,10.792
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,100,10.814
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,101,10.832
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,102,10.841
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,103,10.861
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,104,10.891
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,105,10.904
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,106,10.907
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,107,10.925
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,108,10.943
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,109,10.963
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,110,10.968
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,111,10.984
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,112,11.012
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,113,11.024
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,114,11.041
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,115,11.061
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,116,11.076
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,117,11.097
Tesla V100-SXM2-32GB,0,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,118,11.119
