GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,6.514572,0.000000,0.000000,0.032556
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,6.522594,0.000000,0.000000,0.032596
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,6.523674,0.000000,0.000000,0.032601
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.010000,3.280899,0.000000,0.000000,0.016388
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.009000,3.248255,0.000000,0.000000,0.016224
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.009000,3.229511,0.000000,0.000000,0.016131
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.078023,0.000000,0.000000,0.000374
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.078671,0.000000,0.000000,0.000377
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.080409,0.000000,0.000000,0.000386
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.009000,0.062491,0.000000,0.000000,0.000296
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.009000,0.063271,0.000000,0.000000,0.000300
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.009000,0.063667,0.000000,0.000000,0.000302
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,6.586127,0.000000,0.000000,0.032914
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,6.710277,0.000000,0.000000,0.033534
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,6.697026,0.000000,0.000000,0.033468
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.009000,3.407808,0.000000,0.000000,0.017022
