GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,6.528149,0.000000,0.000000,0.032622
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,6.529495,0.000000,0.000000,0.032629
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,6.519621,0.000000,0.000000,0.032579
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.010000,3.280208,0.000000,0.000000,0.016382
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.009000,3.255537,0.000000,0.000000,0.016259
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.009000,3.254836,0.000000,0.000000,0.016255
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.081096,0.000000,0.000000,0.000387
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.081731,0.000000,0.000000,0.000391
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.083530,0.000000,0.000000,0.000399
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.009000,0.065622,0.000000,0.000000,0.000310
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.009000,0.065888,0.000000,0.000000,0.000311
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.009000,0.066414,0.000000,0.000000,0.000314
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,6.518018,0.000000,0.000000,0.032572
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,6.516687,0.000000,0.000000,0.032565
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,6.523333,0.000000,0.000000,0.032598
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.010000,3.320939,0.000000,0.000000,0.016586
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.009000,3.319970,0.000000,0.000000,0.016581
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.009000,3.320365,0.000000,0.000000,0.016583
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.309292,0.000000,0.000000,0.001528
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.306487,0.000000,0.000000,0.001514
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.310373,0.000000,0.000000,0.001534
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.010000,0.213816,0.000000,0.000000,0.001051
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.009000,0.211707,0.000000,0.000000,0.001040
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.009000,0.214305,0.000000,0.000000,0.001053
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,7.465538,0.000000,0.000000,0.037309
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,7.492049,0.000000,0.000000,0.037441
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,7.500948,0.000000,0.000000,0.037486
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.010000,4.216880,0.000000,0.000000,0.021066
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.009000,4.210081,0.000000,0.000000,0.021032
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.009000,4.226345,0.000000,0.000000,0.021113
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.161865,0.000000,0.795569,0.000000,0.000000,0.003959
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,0.797470,0.000000,0.000000,0.003969
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738525,0.000000,0.803368,0.000000,0.000000,0.003999
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.009000,0.537797,0.000000,0.000000,0.002670
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.009000,0.546057,0.000000,0.000000,0.002712
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.738037,0.009000,0.547445,0.000000,0.000000,0.002719
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.000000,8.353548,0.000000,0.000000,0.041749
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.000000,8.377732,0.000000,0.000000,0.041867
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.000000,8.417100,0.000000,0.000000,0.042067
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.011000,5.236558,0.000000,0.000000,0.026164
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.009000,5.260310,0.000000,0.000000,0.026283
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.009000,5.244440,0.000000,0.000000,0.026203
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.014043,0.000000,0.000000,0.010051
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.000000,2.059341,0.000000,0.000000,0.010278
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,2.028929,0.000000,0.000000,0.010126
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.010000,1.332822,0.000000,0.000000,0.006645
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.009000,1.386065,0.000000,0.000000,0.006911
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,2,1.000000,8951.185547,0.009000,1.335141,0.000000,0.000000,0.006657
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.000000,9.102470,0.000000,0.000000,0.045494
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.000000,9.120116,0.000000,0.000000,0.045582
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.000000,9.281253,0.000000,0.000000,0.046387
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.010000,6.056622,0.000000,0.000000,0.030264
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.009000,6.043790,0.000000,0.000000,0.030200
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.010000,6.099938,0.000000,0.000000,0.030481
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,0,1.000000,15592.959961,0.000000,3.592570,0.000000,0.000000,0.017944
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,1,1.000000,15554.155273,0.000000,3.578703,0.000000,0.000000,0.017874
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,2,1.000000,15563.366211,0.000000,3.576095,0.000000,0.000000,0.017861
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,0,1.000000,15592.959961,0.011000,2.305952,0.000000,0.000000,0.011511
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,1,1.000000,15554.155273,0.009000,2.332400,0.000000,0.000000,0.011643
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,2,1.000000,15563.366211,0.009000,2.302620,0.000000,0.000000,0.011494
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,0,1.000000,64000.000000,0.000000,9.471076,0.000000,0.000000,0.047336
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,1,1.000000,64000.000000,0.000000,9.459323,0.000000,0.000000,0.047278
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,2,1.000000,64000.000000,0.000000,9.470269,0.000000,0.000000,0.047332
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,0,1.000000,64000.000000,0.010000,6.327301,0.000000,0.000000,0.031618
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,1,1.000000,64000.000000,0.009000,6.396042,0.000000,0.000000,0.031961
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,2,1.000000,64000.000000,0.010000,6.402116,0.000000,0.000000,0.031992
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,0,1.000000,15731.778320,0.000000,3.852690,0.000000,0.000000,0.019244
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,1,1.000000,15695.811523,0.000000,3.798639,0.000000,0.000000,0.018974
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,2,1.000000,15700.321289,0.000000,3.829901,0.000000,0.000000,0.019130
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1,0,1.000000,15731.776367,0.010000,2.490428,0.000000,0.000000,0.012433
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1,1,1.000000,15695.809570,0.009000,2.448893,0.000000,0.000000,0.012225
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1,2,1.000000,15700.321289,0.009000,2.479401,0.000000,0.000000,0.012378
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1,0,1.000000,64000.000000,0.000000,9.590963,0.000000,0.000000,0.047936
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1,1,1.000000,64000.000000,0.000000,9.588388,0.000000,0.000000,0.047923
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1,2,1.000000,64000.000000,0.000000,9.849226,0.000000,0.000000,0.049226
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,14.000000,1,0,1.000000,64000.000000,0.010000,6.647863,0.000000,0.000000,0.033221
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,14.000000,1,1,1.000000,64000.000000,0.010000,6.634673,0.000000,0.000000,0.033153
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,14.000000,1,2,1.000000,64000.000000,0.009000,6.626588,0.000000,0.000000,0.033114
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,14.000000,1,0,1.000000,29997.287109,0.000000,8.636019,0.000000,0.000000,0.043161
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,14.000000,1,1,1.000000,30123.578125,0.000000,8.475841,0.000000,0.000000,0.042358
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,14.000000,1,2,1.000000,30080.332031,0.000000,8.422933,0.000000,0.000000,0.042095
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,14.000000,1,0,1.000000,29997.287109,0.010000,5.545757,0.000000,0.000000,0.027710
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,14.000000,1,1,1.000000,30123.578125,0.009000,5.367110,0.000000,0.000000,0.026816
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,14.000000,1,2,1.000000,30080.332031,0.009000,5.322932,0.000000,0.000000,0.026595
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,16.000000,1,0,1.000000,64000.000000,0.000000,9.727986,0.000000,0.000000,0.048621
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,16.000000,1,1,1.000000,64000.000000,0.000000,9.727310,0.000000,0.000000,0.048618
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,16.000000,1,2,1.000000,64000.000000,0.000000,9.700950,0.000000,0.000000,0.048486
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,16.000000,1,0,1.000000,64000.000000,0.011000,6.584382,0.000000,0.000000,0.032903
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,16.000000,1,1,1.000000,64000.000000,0.009000,6.579309,0.000000,0.000000,0.032878
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,16.000000,1,2,1.000000,64000.000000,0.009000,6.563445,0.000000,0.000000,0.032798
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,16.000000,1,0,1.000000,30176.394531,0.000000,8.885048,0.000000,0.000000,0.044406
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,16.000000,1,1,1.000000,30288.835938,0.000000,8.949516,0.000000,0.000000,0.044728
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,16.000000,1,2,1.000000,30265.250000,0.000000,8.842329,0.000000,0.000000,0.044192
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,16.000000,1,0,1.000000,30176.394531,0.010000,5.733671,0.000000,0.000000,0.028649
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,16.000000,1,1,1.000000,30288.835938,0.009000,5.933132,0.000000,0.000000,0.029646
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,16.000000,1,2,1.000000,30265.250000,0.009000,5.685195,0.000000,0.000000,0.028407
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,18.000000,1,0,1.000000,64000.000000,0.000000,9.835128,0.000000,0.000000,0.049157
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,18.000000,1,1,1.000000,64000.000000,0.000000,9.845597,0.000000,0.000000,0.049209
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,18.000000,1,2,1.000000,64000.000000,0.000000,9.826432,0.000000,0.000000,0.049113
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,18.000000,1,0,1.000000,64000.000000,0.010000,6.664515,0.000000,0.000000,0.033304
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,18.000000,1,1,1.000000,64000.000000,0.009000,6.670389,0.000000,0.000000,0.033333
