GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.094797,0.000000,0.000000,0.005456
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.094325,0.000000,0.000000,0.005454
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.094764,0.000000,0.000000,0.005455
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,5.255000,0.551694,0.000000,0.000000,0.002740
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.010000,0.551113,0.000000,0.000000,0.002737
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.010000,0.549780,0.000000,0.000000,0.002731
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.070934,0.000000,0.000000,0.000336
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.072890,0.000000,0.000000,0.000346
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.072577,0.000000,0.000000,0.000345
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,5.186000,0.056752,0.000000,0.000000,0.000265
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.010000,0.057994,0.000000,0.000000,0.000272
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.009000,0.057196,0.000000,0.000000,0.000268
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,1.976392,0.000000,0.000000,0.009864
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,1.977234,0.000000,0.000000,0.009868
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,1.976804,0.000000,0.000000,0.009866
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.010000,0.979905,0.000000,0.000000,0.004881
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.010000,0.980377,0.000000,0.000000,0.004883
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.009000,0.980739,0.000000,0.000000,0.004886
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002350,0.000000,0.070820,0.000000,0.000000,0.000336
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659866,0.000000,0.071309,0.000000,0.000000,0.000338
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.000000,0.070275,0.000000,0.000000,0.000333
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002304,0.010000,0.056697,0.000000,0.000000,0.000265
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.009000,0.056694,0.000000,0.000000,0.000265
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.009000,0.056068,0.000000,0.000000,0.000262
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,2.976566,0.000000,0.000000,0.014864
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,2.975429,0.000000,0.000000,0.014859
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,2.975441,0.000000,0.000000,0.014859
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.010000,1.476674,0.000000,0.000000,0.007365
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.009000,1.476607,0.000000,0.000000,0.007365
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.009000,1.476459,0.000000,0.000000,0.007364
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.077972,0.000000,0.073010,0.000000,0.000000,0.000346
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883087,0.000000,0.073548,0.000000,0.000000,0.000350
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741501,0.000000,0.072909,0.000000,0.000000,0.000346
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.077942,0.009000,0.058066,0.000000,0.000000,0.000272
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.009000,0.058540,0.000000,0.000000,0.000274
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.009000,0.057966,0.000000,0.000000,0.000272
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.000000,3.915414,0.000000,0.000000,0.019559
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.000000,3.915698,0.000000,0.000000,0.019560
