GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,6.369256,0.000000,0.000000,0.031829
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,6.364363,0.000000,0.000000,0.031805
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,6.364404,0.000000,0.000000,0.031805
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.011000,3.237396,0.000000,0.000000,0.016170
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.010000,3.245441,0.000000,0.000000,0.016209
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.010000,3.236859,0.000000,0.000000,0.016167
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.000000,0.078665,0.000000,0.000000,0.000377
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.000000,0.079228,0.000000,0.000000,0.000379
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.080796,0.000000,0.000000,0.000388
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.010000,0.062605,0.000000,0.000000,0.000297
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.010000,0.063060,0.000000,0.000000,0.000299
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.009000,0.063781,0.000000,0.000000,0.000302
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,6.484625,0.000000,0.000000,0.032406
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,6.592466,0.000000,0.000000,0.032946
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,6.630397,0.000000,0.000000,0.033135
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.011000,3.349207,0.000000,0.000000,0.016729
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.010000,3.319664,0.000000,0.000000,0.016581
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.010000,3.320828,0.000000,0.000000,0.016587
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.306341,0.000000,0.000000,0.001515
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.302779,0.000000,0.000000,0.001498
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.306700,0.000000,0.000000,0.001517
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.010000,0.210148,0.000000,0.000000,0.001034
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.009000,0.208195,0.000000,0.000000,0.001024
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.009000,0.211361,0.000000,0.000000,0.001040
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,7.314757,0.000000,0.000000,0.036557
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,7.338042,0.000000,0.000000,0.036673
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,7.495676,0.000000,0.000000,0.037460
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.011000,4.209938,0.000000,0.000000,0.021033
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.009000,4.206268,0.000000,0.000000,0.021015
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.010000,4.225069,0.000000,0.000000,0.021105
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.161865,0.000000,0.795189,0.000000,0.000000,0.003960
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,0.797623,0.000000,0.000000,0.003972
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738525,0.000000,0.804068,0.000000,0.000000,0.004004
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.161865,0.010000,0.536818,0.000000,0.000000,0.002668
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.012000,0.544536,0.000000,0.000000,0.002705
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.738037,0.014000,0.547797,0.000000,0.000000,0.002721
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.000000,8.354362,0.000000,0.000000,0.041753
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.000000,8.378359,0.000000,0.000000,0.041873
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.000000,8.419710,0.000000,0.000000,0.042080
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.015000,5.175528,0.000000,0.000000,0.025859
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.012000,5.167132,0.000000,0.000000,0.025817
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.013000,5.193966,0.000000,0.000000,0.025951
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.010512,0.000000,0.000000,0.010035
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.000000,2.058610,0.000000,0.000000,0.010275
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,2.026190,0.000000,0.000000,0.010113
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.011000,1.331752,0.000000,0.000000,0.006641
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.011000,1.385450,0.000000,0.000000,0.006906
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.011000,1.333819,0.000000,0.000000,0.006651
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.000000,9.101656,0.000000,0.000000,0.045490
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.000000,9.121227,0.000000,0.000000,0.045588
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.000000,9.193590,0.000000,0.000000,0.045950
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.014000,5.921936,0.000000,0.000000,0.029591
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.013000,5.926169,0.000000,0.000000,0.029612
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.013000,5.994854,0.000000,0.000000,0.029956
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,0,1.000000,15592.959961,0.000000,3.591059,0.000000,0.000000,0.017937
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,1,1.000000,15554.155273,0.000000,3.578983,0.000000,0.000000,0.017876
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,2,1.000000,15563.366211,0.000000,3.575903,0.000000,0.000000,0.017861
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,0,1.000000,15592.959961,0.011000,2.305934,0.000000,0.000000,0.011511
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,1,1.000000,15554.155273,0.010000,2.332951,0.000000,0.000000,0.011646
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,2,1.000000,15563.366211,0.013000,2.304225,0.000000,0.000000,0.011502
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,0,1.000000,64000.000000,0.000000,9.475394,0.000000,0.000000,0.047358
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,1,1.000000,64000.000000,0.000000,9.462165,0.000000,0.000000,0.047292
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,2,1.000000,64000.000000,0.000000,9.473250,0.000000,0.000000,0.047348
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,0,1.000000,64000.000000,0.015000,6.292745,0.000000,0.000000,0.031442
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,1,1.000000,64000.000000,0.010000,6.327695,0.000000,0.000000,0.031620
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,2,1.000000,64000.000000,0.014000,6.436978,0.000000,0.000000,0.032166
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,0,1.000000,15731.776367,0.000000,3.853628,0.000000,0.000000,0.019250
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,1,1.000000,15695.811523,0.000000,3.801161,0.000000,0.000000,0.018987
