GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.094507,0.000000,0.000000,0.005456
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.092762,0.000000,0.000000,0.005448
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.093080,0.000000,0.000000,0.005449
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,5.606000,0.551030,0.000000,0.000000,0.002738
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.011000,0.550895,0.000000,0.000000,0.002737
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.009000,0.550017,0.000000,0.000000,0.002732
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.073800,0.000000,0.000000,0.000351
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.073031,0.000000,0.000000,0.000348
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.072838,0.000000,0.000000,0.000347
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,5.241000,0.054870,0.000000,0.000000,0.000258
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.011000,0.055863,0.000000,0.000000,0.000263
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.009000,0.055329,0.000000,0.000000,0.000260
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,1.972122,0.000000,0.000000,0.009844
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,1.972478,0.000000,0.000000,0.009846
