GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318497,0.000000,0.088062,0.000000,0.000000,0.000425
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.000000,0.088664,0.000000,0.000000,0.000428
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824341,0.000000,0.090418,0.000000,0.000000,0.000436
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.009000,0.072943,0.000000,0.000000,0.000348
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070251,0.009000,0.073514,0.000000,0.000000,0.000352
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824341,0.009000,0.073425,0.000000,0.000000,0.000351
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.000000,0.404853,0.000000,0.000000,0.002008
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,0.399614,0.000000,0.000000,0.001982
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,0.399556,0.000000,0.000000,0.001982
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.009000,0.308409,0.000000,0.000000,0.001526
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.009000,0.307442,0.000000,0.000000,0.001521
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.009000,0.309538,0.000000,0.000000,0.001532
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.000000,0.991997,0.000000,0.000000,0.004944
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.000000,0.993257,0.000000,0.000000,0.004950
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,3716.738525,0.000000,0.988672,0.000000,0.000000,0.004924
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.010000,0.740945,0.000000,0.000000,0.003689
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,3721.640381,0.009000,0.757144,0.000000,0.000000,0.003770
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,3716.738525,0.009000,0.754021,0.000000,0.000000,0.003754
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,2.349041,0.000000,0.000000,0.011729
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.469727,0.000000,2.326893,0.000000,0.000000,0.011618
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,8951.185547,0.000000,2.333605,0.000000,0.000000,0.011652
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.009000,1.680413,0.000000,0.000000,0.008386
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.009000,1.676262,0.000000,0.000000,0.008365
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,8951.185547,0.009000,1.669936,0.000000,0.000000,0.008333
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.077810,0.000000,0.000000,0.000373
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.078472,0.000000,0.000000,0.000376
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.000000,0.080210,0.000000,0.000000,0.000385
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.009000,0.062483,0.000000,0.000000,0.000296
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.009000,0.062956,0.000000,0.000000,0.000299
