GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,6.359766,0.000000,0.000000,0.031782
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,6.355597,0.000000,0.000000,0.031760
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,6.355741,0.000000,0.000000,0.031761
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.010000,3.188850,0.000000,0.000000,0.015927
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.009000,3.219021,0.000000,0.000000,0.016078
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.009000,3.192281,0.000000,0.000000,0.015944
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.000000,0.080937,0.000000,0.000000,0.000388
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.081686,0.000000,0.000000,0.000392
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.000000,0.083320,0.000000,0.000000,0.000400
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.009000,0.065275,0.000000,0.000000,0.000310
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.009000,0.065590,0.000000,0.000000,0.000311
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.009000,0.066185,0.000000,0.000000,0.000314
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,6.478179,0.000000,0.000000,0.032374
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,6.623242,0.000000,0.000000,0.033099
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,6.609529,0.000000,0.000000,0.033030
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.010000,3.319519,0.000000,0.000000,0.016580
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.009000,3.319728,0.000000,0.000000,0.016581
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.009000,3.319057,0.000000,0.000000,0.016578
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.307548,0.000000,0.000000,0.001521
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.304929,0.000000,0.000000,0.001508
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.309045,0.000000,0.000000,0.001529
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.010000,0.212112,0.000000,0.000000,0.001044
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.009000,0.210476,0.000000,0.000000,0.001036
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.009000,0.213269,0.000000,0.000000,0.001050
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,7.355699,0.000000,0.000000,0.036761
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,7.334724,0.000000,0.000000,0.036656
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,7.357312,0.000000,0.000000,0.036769
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.011000,4.094387,0.000000,0.000000,0.020455
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.009000,4.192732,0.000000,0.000000,0.020946
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.009000,4.218468,0.000000,0.000000,0.021074
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.161865,0.000000,0.794968,0.000000,0.000000,0.003958
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,0.796188,0.000000,0.000000,0.003964
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738525,0.000000,0.801808,0.000000,0.000000,0.003992
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.010000,0.536847,0.000000,0.000000,0.002667
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.009000,0.545003,0.000000,0.000000,0.002708
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.737793,0.009000,0.547706,0.000000,0.000000,0.002722
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.000000,8.390024,0.000000,0.000000,0.041933
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.000000,8.388338,0.000000,0.000000,0.041924
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.000000,8.429049,0.000000,0.000000,0.042128
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.009000,5.155968,0.000000,0.000000,0.025762
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.009000,5.164759,0.000000,0.000000,0.025806
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.009000,5.193372,0.000000,0.000000,0.025949
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.014347,0.000000,0.000000,0.010054
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.000000,2.064703,0.000000,0.000000,0.010306
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,2.027040,0.000000,0.000000,0.010118
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.011000,1.332187,0.000000,0.000000,0.006644
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.009000,1.384677,0.000000,0.000000,0.006906
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.009000,1.332430,0.000000,0.000000,0.006645
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.000000,9.108408,0.000000,0.000000,0.045524
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.000000,9.094171,0.000000,0.000000,0.045453
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.000000,9.163840,0.000000,0.000000,0.045802
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.010000,5.923291,0.000000,0.000000,0.029599
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.009000,5.904379,0.000000,0.000000,0.029504
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.009000,5.970915,0.000000,0.000000,0.029837
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,0,1.000000,15592.959961,0.000000,3.589432,0.000000,0.000000,0.017929
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,1,1.000000,15554.155273,0.000000,3.579317,0.000000,0.000000,0.017879
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,10.000000,1,2,1.000000,15563.363281,0.000000,3.573809,0.000000,0.000000,0.017851
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,0,1.000000,15592.957031,0.011000,2.306913,0.000000,0.000000,0.011514
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,1,1.000000,15554.155273,0.009000,2.332810,0.000000,0.000000,0.011647
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,10.000000,1,2,1.000000,15563.366211,0.009000,2.303114,0.000000,0.000000,0.011498
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,0,1.000000,64000.000000,0.000000,9.458865,0.000000,0.000000,0.047277
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,1,1.000000,64000.000000,0.000000,9.451798,0.000000,0.000000,0.047241
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1,2,1.000000,64000.000000,0.000000,9.455527,0.000000,0.000000,0.047260
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,0,1.000000,64000.000000,0.010000,6.278152,0.000000,0.000000,0.031373
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,1,1.000000,64000.000000,0.009000,6.268372,0.000000,0.000000,0.031324
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1,2,1.000000,64000.000000,0.009000,6.272530,0.000000,0.000000,0.031345
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,0,1.000000,15731.778320,0.000000,3.848069,0.000000,0.000000,0.019223
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,1,1.000000,15695.811523,0.000000,3.798301,0.000000,0.000000,0.018974
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,12.000000,1,2,1.000000,15700.321289,0.000000,3.827909,0.000000,0.000000,0.019122
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1,0,1.000000,15731.778320,0.011000,2.490366,0.000000,0.000000,0.012434
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1,1,1.000000,15695.811523,0.009000,2.449943,0.000000,0.000000,0.012232
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,12.000000,1,2,1.000000,15700.321289,0.009000,2.478985,0.000000,0.000000,0.012377
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1,0,1.000000,64000.000000,0.000000,9.597799,0.000000,0.000000,0.047971
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1,1,1.000000,64000.000000,0.000000,9.586630,0.000000,0.000000,0.047915
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1,2,1.000000,64000.000000,0.000000,9.581449,0.000000,0.000000,0.047890
