GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.092515,0.000000,0.000000,0.005445
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.094333,0.000000,0.000000,0.005456
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.092442,0.000000,0.000000,0.005446
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,4.433000,0.549827,0.000000,0.000000,0.002732
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.010000,0.550385,0.000000,0.000000,0.002735
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.008000,0.548664,0.000000,0.000000,0.002727
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.068685,0.000000,0.000000,0.000327
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.070430,0.000000,0.000000,0.000336
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.070704,0.000000,0.000000,0.000337
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,4.451000,0.054359,0.000000,0.000000,0.000255
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.009000,0.055499,0.000000,0.000000,0.000261
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.008000,0.055570,0.000000,0.000000,0.000260
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,1.975822,0.000000,0.000000,0.009863
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,1.976145,0.000000,0.000000,0.009864
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,1.975969,0.000000,0.000000,0.009863
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.010000,0.979364,0.000000,0.000000,0.004881
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.009000,0.979891,0.000000,0.000000,0.004883
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.009000,0.979472,0.000000,0.000000,0.004881
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002365,0.000000,0.068000,0.000000,0.000000,0.000324
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.000000,0.068782,0.000000,0.000000,0.000328
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.000000,0.067744,0.000000,0.000000,0.000323
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002365,0.009000,0.053983,0.000000,0.000000,0.000253
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659805,0.008000,0.054024,0.000000,0.000000,0.000254
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981262,0.008000,0.053514,0.000000,0.000000,0.000251
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,2.975984,0.000000,0.000000,0.014863
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,2.975836,0.000000,0.000000,0.014862
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,2.975817,0.000000,0.000000,0.014862
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.011000,1.476866,0.000000,0.000000,0.007368
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.009000,1.476328,0.000000,0.000000,0.007365
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.009000,1.476441,0.000000,0.000000,0.007366
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.000000,0.070474,0.000000,0.000000,0.000336
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883118,0.000000,0.070721,0.000000,0.000000,0.000338
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.000000,0.070176,0.000000,0.000000,0.000335
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.078033,0.009000,0.055687,0.000000,0.000000,0.000262
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.008000,0.055926,0.000000,0.000000,0.000263
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741486,0.008000,0.055597,0.000000,0.000000,0.000261
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.000000,3.914193,0.000000,0.000000,0.019554
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.000000,3.914499,0.000000,0.000000,0.019556
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.000000,3.914535,0.000000,0.000000,0.019556
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,0,1.000000,39304.000000,0.011000,1.940407,0.000000,0.000000,0.009685
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,1,1.000000,39304.000000,0.009000,1.940770,0.000000,0.000000,0.009687
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1,2,1.000000,39304.000000,0.010000,1.940774,0.000000,0.000000,0.009687
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.000000,0.077294,0.000000,0.000000,0.000370
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586166,0.000000,0.074741,0.000000,0.000000,0.000358
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105774,0.000000,0.075862,0.000000,0.000000,0.000363
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212524,0.010000,0.061340,0.000000,0.000000,0.000290
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1,1.000000,191.586136,0.008000,0.059683,0.000000,0.000000,0.000282
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,2,1.000000,190.105743,0.008000,0.060193,0.000000,0.000000,0.000284
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.000000,5.036552,0.000000,0.000000,0.025166
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.000000,5.036878,0.000000,0.000000,0.025167
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1,2,1.000000,50653.000000,0.000000,5.036409,0.000000,0.000000,0.025165
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,0,1.000000,50653.000000,0.010000,2.496557,0.000000,0.000000,0.012466
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,1,1.000000,50653.000000,0.009000,2.496648,0.000000,0.000000,0.012467
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1,2,1.000000,50653.000000,0.009000,2.496721,0.000000,0.000000,0.012467
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,0,1.000000,178.705063,0.000000,0.076423,0.000000,0.000000,0.000365
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,1,1.000000,179.075241,0.000000,0.075142,0.000000,0.000000,0.000360
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1,2,1.000000,177.816452,0.000000,0.075168,0.000000,0.000000,0.000360
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,0,1.000000,178.705032,0.010000,0.060647,0.000000,0.000000,0.000287
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,1,1.000000,179.075272,0.008000,0.060557,0.000000,0.000000,0.000286
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,2,1.000000,177.816406,0.008000,0.060470,0.000000,0.000000,0.000286
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,0,1.000000,59319.000000,0.000000,5.892327,0.000000,0.000000,0.029445
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,1,1.000000,59319.000000,0.000000,5.891314,0.000000,0.000000,0.029440
NVIDIA H100 PCIe,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1,2,1.000000,59319.000000,0.000000,5.890984,0.000000,0.000000,0.029438
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,0,1.000000,59319.000000,0.010000,2.920917,0.000000,0.000000,0.014588
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,1,1.000000,59319.000000,0.009000,2.920790,0.000000,0.000000,0.014587
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1,2,1.000000,59319.000000,0.009000,2.921034,0.000000,0.000000,0.014588
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,0,1.000000,180.564392,0.000000,0.075296,0.000000,0.000000,0.000360
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,1,1.000000,180.697449,0.000000,0.075094,0.000000,0.000000,0.000359
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1,2,1.000000,179.701538,0.000000,0.076462,0.000000,0.000000,0.000366
