GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,6.242840,0.000000,0.000000,0.031196
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,6.242636,0.000000,0.000000,0.031195
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,6.242914,0.000000,0.000000,0.031196
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.003000,3.206412,0.000000,0.000000,0.016014
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.003000,3.206426,0.000000,0.000000,0.016014
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.003000,3.207859,0.000000,0.000000,0.016021
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.000000,0.079608,0.000000,0.000000,0.000380
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.081007,0.000000,0.000000,0.000387
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.000000,0.082151,0.000000,0.000000,0.000393
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.003000,0.064498,0.000000,0.000000,0.000304
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.003000,0.065769,0.000000,0.000000,0.000311
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.003000,0.065863,0.000000,0.000000,0.000311
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,6.333969,0.000000,0.000000,0.031652
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,6.335648,0.000000,0.000000,0.031660
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,6.333379,0.000000,0.000000,0.031649
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.003000,3.247119,0.000000,0.000000,0.016217
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.003000,3.249094,0.000000,0.000000,0.016227
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.003000,3.247335,0.000000,0.000000,0.016218
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.303990,0.000000,0.000000,0.001502
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.301524,0.000000,0.000000,0.001489
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.310995,0.000000,0.000000,0.001537
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.003000,0.213630,0.000000,0.000000,0.001050
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.003000,0.217476,0.000000,0.000000,0.001042
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.003000,0.219354,0.000000,0.000000,0.001078
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,7.161840,0.000000,0.000000,0.035791
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,7.149147,0.000000,0.000000,0.035727
NVIDIA H100 NVL,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,7.157926,0.000000,0.000000,0.035771
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.003000,4.109190,0.000000,0.000000,0.020518
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.003000,4.097905,0.000000,0.000000,0.020471
