GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 NVL,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,1.072527,0.000000,0.000000,0.005344
NVIDIA H100 NVL,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,1.072594,0.000000,0.000000,0.005345
NVIDIA H100 NVL,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,1.070926,0.000000,0.000000,0.005336
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,2.394000,0.559120,0.000000,0.000000,0.002777
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.003000,0.558874,0.000000,0.000000,0.002776
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.003000,0.557363,0.000000,0.000000,0.002769
NVIDIA H100 NVL,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.070768,0.000000,0.000000,0.000335
NVIDIA H100 NVL,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.427017,0.000000,0.071651,0.000000,0.000000,0.000340
NVIDIA H100 NVL,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.000000,0.071797,0.000000,0.000000,0.000341
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,2.415000,0.056639,0.000000,0.000000,0.000264
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.427017,0.003000,0.057568,0.000000,0.000000,0.000270
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.003000,0.056618,0.000000,0.000000,0.000265
NVIDIA H100 NVL,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,1.939964,0.000000,0.000000,0.009682
NVIDIA H100 NVL,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,1.940135,0.000000,0.000000,0.009682
NVIDIA H100 NVL,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,1.939947,0.000000,0.000000,0.009680
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.005000,0.999897,0.000000,0.000000,0.004981
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.003000,0.999951,0.000000,0.000000,0.004981
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.003000,1.000081,0.000000,0.000000,0.004982
NVIDIA H100 NVL,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,186.892166,0.000000,0.077020,0.000000,0.000000,0.000367
NVIDIA H100 NVL,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,189.120605,0.000000,0.076926,0.000000,0.000000,0.000366
NVIDIA H100 NVL,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,186.042130,0.000000,0.077530,0.000000,0.000000,0.000369
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,186.892151,0.004000,0.061393,0.000000,0.000000,0.000289
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,189.120529,0.003000,0.061355,0.000000,0.000000,0.000289
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,186.042114,0.003000,0.063605,0.000000,0.000000,0.000290
NVIDIA H100 NVL,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,2.922657,0.000000,0.000000,0.014595
NVIDIA H100 NVL,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,2.924722,0.000000,0.000000,0.014596
NVIDIA H100 NVL,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,2,1.000000,29791.000000,0.000000,2.922670,0.000000,0.000000,0.014595
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.005000,1.502004,0.000000,0.000000,0.007492
NVIDIA H100 NVL,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.003000,1.501903,0.000000,0.000000,0.007491
