GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318512,0.000000,0.091381,0.000000,0.000000,0.000439
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.000000,0.092358,0.000000,0.000000,0.000443
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824310,0.000000,0.104086,0.000000,0.000000,0.000454
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318512,0.004000,0.075757,0.000000,0.000000,0.000360
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.003000,0.076315,0.000000,0.000000,0.000363
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824341,0.004000,0.077027,0.000000,0.000000,0.000367
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.000000,0.396200,0.000000,0.000000,0.001963
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,0.395411,0.000000,0.000000,0.001959
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,0.397266,0.000000,0.000000,0.001968
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.003000,0.304573,0.000000,0.000000,0.001504
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.003000,0.306023,0.000000,0.000000,0.001502
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.004000,0.304929,0.000000,0.000000,0.001506
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,4195.581055,0.000000,1.137439,0.000000,0.000000,0.005669
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,4183.131836,0.000000,1.125394,0.000000,0.000000,0.005608
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,4172.043945,0.000000,1.119245,0.000000,0.000000,0.005578
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,4195.581055,0.004000,0.852764,0.000000,0.000000,0.004245
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,4183.131348,0.004000,0.848526,0.000000,0.000000,0.004224
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,4172.043945,0.004000,0.849064,0.000000,0.000000,0.004227
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,2.367643,0.000000,0.000000,0.011819
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.000000,2.346908,0.000000,0.000000,0.011716
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.000000,2.381314,0.000000,0.000000,0.011888
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,8993.425781,0.004000,1.712923,0.000000,0.000000,0.008546
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,8935.469727,0.004000,1.689680,0.000000,0.000000,0.008430
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.004000,1.713192,0.000000,0.000000,0.008547
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.081503,0.000000,0.000000,0.000379
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.081085,0.000000,0.000000,0.000387
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.000000,0.082271,0.000000,0.000000,0.000393
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.004000,0.064903,0.000000,0.000000,0.000306
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.003000,0.065872,0.000000,0.000000,0.000311
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.004000,0.066089,0.000000,0.000000,0.000312
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.304721,0.000000,0.000000,0.001505
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.301923,0.000000,0.000000,0.001491
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.311328,0.000000,0.000000,0.001538
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.004000,0.214188,0.000000,0.000000,0.001052
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.003000,0.212583,0.000000,0.000000,0.001044
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.004000,0.225504,0.000000,0.000000,0.001080
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,4195.581055,0.000000,0.964634,0.000000,0.000000,0.004804
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,4183.131348,0.000000,0.962577,0.000000,0.000000,0.004794
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,4172.043945,0.000000,0.964976,0.000000,0.000000,0.004806
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,4195.581055,0.004000,0.664357,0.000000,0.000000,0.003303
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,4183.131836,0.004000,0.661974,0.000000,0.000000,0.003291
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,4172.043945,0.004000,0.661566,0.000000,0.000000,0.003289
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.022716,0.000000,0.000000,0.010095
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.469727,0.000000,2.054297,0.000000,0.000000,0.010253
NVIDIA H100 NVL,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,2.049214,0.000000,0.000000,0.010227
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.425781,0.004000,1.345325,0.000000,0.000000,0.006708
NVIDIA H100 NVL,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.469727,0.004000,1.368770,0.000000,0.000000,0.006825
