GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318512,0.000000,0.093093,0.000000,0.000000,0.000447
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070267,0.000000,0.094149,0.000000,0.000000,0.000452
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824341,0.000000,0.095962,0.000000,0.000000,0.000461
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.003000,0.076234,0.000000,0.000000,0.000361
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070251,0.002000,0.076855,0.000000,0.000000,0.000366
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824310,0.002000,0.077300,0.000000,0.000000,0.000368
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799194,0.000000,0.394514,0.000000,0.000000,0.001954
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,0.393547,0.000000,0.000000,0.001949
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,0.395383,0.000000,0.000000,0.001958
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799194,0.002000,0.302575,0.000000,0.000000,0.001493
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.002000,0.302730,0.000000,0.000000,0.001495
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.002000,0.303561,0.000000,0.000000,0.001499
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,4195.581055,0.000000,1.137601,0.000000,0.000000,0.005669
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,4183.131348,0.000000,1.120885,0.000000,0.000000,0.005586
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,4172.043945,0.000000,1.123215,0.000000,0.000000,0.005597
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,4195.581055,0.002000,0.852729,0.000000,0.000000,0.004245
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,4183.131836,0.002000,0.843855,0.000000,0.000000,0.004200
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,4172.043945,0.002000,0.847580,0.000000,0.000000,0.004219
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,2.367789,0.000000,0.000000,0.011820
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.000000,2.345065,0.000000,0.000000,0.011706
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.000000,2.382625,0.000000,0.000000,0.011894
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.003000,1.708267,0.000000,0.000000,0.008522
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.002000,1.691052,0.000000,0.000000,0.008436
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.002000,1.709961,0.000000,0.000000,0.008530
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.079310,0.000000,0.000000,0.000378
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070221,0.000000,0.080855,0.000000,0.000000,0.000386
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.082232,0.000000,0.000000,0.000392
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.003000,0.065500,0.000000,0.000000,0.000307
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.002000,0.066374,0.000000,0.000000,0.000313
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.002000,0.066824,0.000000,0.000000,0.000314
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.305799,0.000000,0.000000,0.001509
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.303986,0.000000,0.000000,0.001501
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.313754,0.000000,0.000000,0.001539
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.002000,0.215519,0.000000,0.000000,0.001059
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.002000,0.214618,0.000000,0.000000,0.001054
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.002000,0.220413,0.000000,0.000000,0.001083
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,4195.581055,0.000000,0.968195,0.000000,0.000000,0.004822
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,4183.131348,0.000000,0.968460,0.000000,0.000000,0.004813
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,4172.043945,0.000000,0.971778,0.000000,0.000000,0.004828
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,4195.581055,0.003000,0.667944,0.000000,0.000000,0.003319
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,4183.131836,0.002000,0.665378,0.000000,0.000000,0.003308
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,4172.043945,0.002000,0.664831,0.000000,0.000000,0.003305
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.032250,0.000000,0.000000,0.010131
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.469727,0.000000,2.064449,0.000000,0.000000,0.010303
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,2.060718,0.000000,0.000000,0.010284
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.002000,1.355109,0.000000,0.000000,0.006755
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.469727,0.002000,1.381388,0.000000,0.000000,0.006887
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,2,1.000000,8951.185547,0.002000,1.378747,0.000000,0.000000,0.006855
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,0,1.000000,194.318542,0.000000,0.073138,0.000000,0.000000,0.000347
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,1,1.000000,194.070221,0.000000,0.074577,0.000000,0.000000,0.000354
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,2,1.000000,192.824341,0.000000,0.075922,0.000000,0.000000,0.000361
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,0,1.000000,194.318497,0.002000,0.059058,0.000000,0.000000,0.000277
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,1,1.000000,194.070221,0.002000,0.060089,0.000000,0.000000,0.000282
NVIDIA H100 PCIe,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,2,1.000000,192.824310,0.002000,0.060643,0.000000,0.000000,0.000284
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,64000,40.000000,4.000000,2,0,1.000000,1395.799316,0.000000,0.301199,0.000000,0.000000,0.001487
