GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,4.481204,0.000000,0.000000,0.022391
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,4.474822,0.000000,0.000000,0.022359
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,4.475267,0.000000,0.000000,0.022362
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.013000,2.020204,0.000000,0.000000,0.010087
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.011000,2.019917,0.000000,0.000000,0.010085
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.010000,2.020205,0.000000,0.000000,0.010087
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.058889,0.000000,0.000000,0.000280
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.058934,0.000000,0.000000,0.000281
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.000000,0.060223,0.000000,0.000000,0.000287
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.011000,0.046019,0.000000,0.000000,0.000216
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.011000,0.046740,0.000000,0.000000,0.000220
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.011000,0.046977,0.000000,0.000000,0.000221
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,4.533216,0.000000,0.000000,0.022652
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,4.533708,0.000000,0.000000,0.022654
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,4.535460,0.000000,0.000000,0.022663
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.011000,2.075712,0.000000,0.000000,0.010364
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.010000,2.076054,0.000000,0.000000,0.010366
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.012000,2.077882,0.000000,0.000000,0.010375
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.221558,0.000000,0.000000,0.001093
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.219544,0.000000,0.000000,0.001083
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.222592,0.000000,0.000000,0.001099
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.011000,0.147870,0.000000,0.000000,0.000725
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.011000,0.148020,0.000000,0.000000,0.000726
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.011000,0.153060,0.000000,0.000000,0.000751
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,5.139504,0.000000,0.000000,0.025683
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,5.132618,0.000000,0.000000,0.025649
NVIDIA L40,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,5.141149,0.000000,0.000000,0.025691
NVIDIA L40,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.011000,2.702404,0.000000,0.000000,0.013498
