GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,0.000000,0.768299,0.000000,0.000000,0.003827
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.000000,0.768564,0.000000,0.000000,0.003829
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.000000,0.766964,0.000000,0.000000,0.003820
NVIDIA L40,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,0,1.000000,10648.000000,5.723000,0.358392,0.000000,0.000000,0.001777
NVIDIA L40,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,1,1.000000,10648.000000,0.010000,0.358309,0.000000,0.000000,0.001777
NVIDIA L40,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1,2,1.000000,10648.000000,0.011000,0.357054,0.000000,0.000000,0.001771
NVIDIA L40,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.050666,0.000000,0.000000,0.000239
NVIDIA L40,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.051658,0.000000,0.000000,0.000244
NVIDIA L40,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.051676,0.000000,0.000000,0.000244
NVIDIA L40,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420059,5.709000,0.038899,0.000000,0.000000,0.000180
NVIDIA L40,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.011000,0.039767,0.000000,0.000000,0.000184
NVIDIA L40,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.011000,0.038929,0.000000,0.000000,0.000180
NVIDIA L40,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.000000,1.386993,0.000000,0.000000,0.006921
NVIDIA L40,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.000000,1.387595,0.000000,0.000000,0.006924
NVIDIA L40,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.000000,1.387194,0.000000,0.000000,0.006922
NVIDIA L40,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,0,1.000000,19683.000000,0.011000,0.631771,0.000000,0.000000,0.003144
NVIDIA L40,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,1,1.000000,19683.000000,0.010000,0.632347,0.000000,0.000000,0.003147
NVIDIA L40,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1,2,1.000000,19683.000000,0.012000,0.631898,0.000000,0.000000,0.003145
NVIDIA L40,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002380,0.000000,0.050433,0.000000,0.000000,0.000238
NVIDIA L40,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659805,0.000000,0.050544,0.000000,0.000000,0.000239
NVIDIA L40,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.000000,0.050104,0.000000,0.000000,0.000236
NVIDIA L40,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002350,0.011000,0.038705,0.000000,0.000000,0.000179
NVIDIA L40,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659821,0.010000,0.038732,0.000000,0.000000,0.000179
NVIDIA L40,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.011000,0.038946,0.000000,0.000000,0.000180
NVIDIA L40,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,0,1.000000,29791.000000,0.000000,2.092098,0.000000,0.000000,0.010447
NVIDIA L40,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1,1,1.000000,29791.000000,0.000000,2.092715,0.000000,0.000000,0.010449
