GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,step,s_step
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,0,0.003952
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,1,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,2,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,3,0.003763
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,4,0.003766
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,5,0.003763
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,6,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,7,0.003762
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,8,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,9,0.003762
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,10,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,11,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,12,0.003766
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,13,0.003762
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,14,0.003763
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,15,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,16,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,17,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,18,0.003763
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,19,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,20,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,21,0.003766
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,22,0.003763
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,23,0.003766
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,24,0.003762
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,25,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,26,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,27,0.003766
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,28,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,29,0.003770
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,30,0.003764
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,31,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,32,0.003767
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,33,0.003765
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,34,0.003766
NVIDIA L40,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1,0,1.000000,35,0.003765
