GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318497,0.000000,0.128576,0.000000,0.000000,0.000629
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.000000,0.129426,0.000000,0.000000,0.000633
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824356,0.000000,0.129739,0.000000,0.000000,0.000635
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.011000,0.116481,0.000000,0.000000,0.000568
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.011000,0.116904,0.000000,0.000000,0.000570
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824356,0.011000,0.116212,0.000000,0.000000,0.000567
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.000000,0.759209,0.000000,0.000000,0.003782
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,0.767280,0.000000,0.000000,0.003822
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,0.753384,0.000000,0.000000,0.003753
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.011000,0.689136,0.000000,0.000000,0.003431
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.011000,0.686623,0.000000,0.000000,0.003419
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.011000,0.685899,0.000000,0.000000,0.003415
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.000000,1.813026,0.000000,0.000000,0.009051
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.000000,1.827517,0.000000,0.000000,0.009123
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,3716.738037,0.000000,1.837227,0.000000,0.000000,0.009172
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.011000,1.595555,0.000000,0.000000,0.007963
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.011000,1.602526,0.000000,0.000000,0.007998
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,3716.738037,0.011000,1.602404,0.000000,0.000000,0.007998
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,1.781240,0.000000,0.000000,0.008892
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.000000,1.780433,0.000000,0.000000,0.008888
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.000000,1.787162,0.000000,0.000000,0.008921
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.011000,1.240900,0.000000,0.000000,0.006190
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.011000,1.243927,0.000000,0.000000,0.006205
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.011000,1.259277,0.000000,0.000000,0.006282
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.000000,0.058946,0.000000,0.000000,0.000280
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.059064,0.000000,0.000000,0.000281
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.060321,0.000000,0.000000,0.000288
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.013000,0.046183,0.000000,0.000000,0.000217
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.011000,0.046865,0.000000,0.000000,0.000220
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.011000,0.047132,0.000000,0.000000,0.000221
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.221562,0.000000,0.000000,0.001094
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.219641,0.000000,0.000000,0.001084
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.222608,0.000000,0.000000,0.001099
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.011000,0.147937,0.000000,0.000000,0.000725
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.011000,0.148081,0.000000,0.000000,0.000726
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.011000,0.153142,0.000000,0.000000,0.000752
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.000000,0.586115,0.000000,0.000000,0.002916
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,0.593862,0.000000,0.000000,0.002955
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738037,0.000000,0.594083,0.000000,0.000000,0.002956
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.011000,0.391408,0.000000,0.000000,0.001943
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.011000,0.404929,0.000000,0.000000,0.002010
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.737793,0.011000,0.391248,0.000000,0.000000,0.001942
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,1.509702,0.000000,0.000000,0.007534
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.469727,0.000000,1.561208,0.000000,0.000000,0.007792
NVIDIA L40,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.185547,0.000000,1.510141,0.000000,0.000000,0.007536
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.010000,0.976270,0.000000,0.000000,0.004867
NVIDIA L40,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.469727,0.011000,1.016631,0.000000,0.000000,0.005069
