GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA L40,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.051295,0.000000,0.000000,0.000242
NVIDIA L40,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426941,0.000000,0.052029,0.000000,0.000000,0.000246
NVIDIA L40,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.051354,0.000000,0.000000,0.000243
NVIDIA L40,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.011000,0.038769,0.000000,0.000000,0.000180
NVIDIA L40,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.011000,0.039910,0.000000,0.000000,0.000185
NVIDIA L40,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.011000,0.039053,0.000000,0.000000,0.000181
NVIDIA L40,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.000000,0.078294,0.000000,0.000000,0.000377
NVIDIA L40,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086731,0.000000,0.076377,0.000000,0.000000,0.000368
NVIDIA L40,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013702,0.000000,0.078912,0.000000,0.000000,0.000380
NVIDIA L40,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.011000,0.056415,0.000000,0.000000,0.000268
NVIDIA L40,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086731,0.011000,0.055046,0.000000,0.000000,0.000261
NVIDIA L40,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.011000,0.055881,0.000000,0.000000,0.000265
NVIDIA L40,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.104553,0.000000,0.000000,0.000509
NVIDIA L40,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454529,0.000000,0.104106,0.000000,0.000000,0.000506
NVIDIA L40,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948425,0.000000,0.103523,0.000000,0.000000,0.000503
NVIDIA L40,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464111,0.011000,0.073608,0.000000,0.000000,0.000354
NVIDIA L40,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454468,0.011000,0.073016,0.000000,0.000000,0.000351
NVIDIA L40,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948364,0.010000,0.073204,0.000000,0.000000,0.000352
NVIDIA L40,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.164062,0.000000,0.130563,0.000000,0.000000,0.000639
NVIDIA L40,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250610,0.000000,0.131628,0.000000,0.000000,0.000644
NVIDIA L40,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,2,4.000000,725.077881,0.000000,0.129966,0.000000,0.000000,0.000636
NVIDIA L40,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.011000,0.088788,0.000000,0.000000,0.000430
NVIDIA L40,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,1,4.000000,728.250793,0.011000,0.089722,0.000000,0.000000,0.000434
NVIDIA L40,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,2,4.000000,725.077881,0.011000,0.089888,0.000000,0.000000,0.000435
NVIDIA L40,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002304,0.000000,0.050565,0.000000,0.000000,0.000239
NVIDIA L40,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.000000,0.050560,0.000000,0.000000,0.000239
NVIDIA L40,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.000000,0.049986,0.000000,0.000000,0.000236
NVIDIA L40,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002365,0.014000,0.038961,0.000000,0.000000,0.000181
NVIDIA L40,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.011000,0.038681,0.000000,0.000000,0.000179
NVIDIA L40,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.011000,0.039084,0.000000,0.000000,0.000181
NVIDIA L40,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,0,2.000000,337.074127,0.000000,0.076063,0.000000,0.000000,0.000366
NVIDIA L40,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,1,2.000000,339.731842,0.000000,0.076975,0.000000,0.000000,0.000371
NVIDIA L40,1,0,circles_spatial3D,200,39366,27.000000,2.000000,1,2,2.000000,338.212372,0.000000,0.076802,0.000000,0.000000,0.000370
NVIDIA L40,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,0,2.000000,337.074188,0.011000,0.055492,0.000000,0.000000,0.000263
NVIDIA L40,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,1,2.000000,339.731842,0.011000,0.055283,0.000000,0.000000,0.000262
NVIDIA L40,1,0,circles_spatial3D_rtc,200,39366,27.000000,2.000000,1,2,2.000000,338.212433,0.011000,0.055957,0.000000,0.000000,0.000266
NVIDIA L40,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,0,3.000000,506.241180,0.000000,0.100782,0.000000,0.000000,0.000490
NVIDIA L40,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,1,3.000000,509.894287,0.000000,0.103177,0.000000,0.000000,0.000502
NVIDIA L40,1,0,circles_spatial3D,200,59049,27.000000,2.000000,1,2,3.000000,505.589417,0.000000,0.102562,0.000000,0.000000,0.000499
NVIDIA L40,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,0,3.000000,506.241119,0.011000,0.071236,0.000000,0.000000,0.000342
NVIDIA L40,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,1,3.000000,509.894379,0.011000,0.073221,0.000000,0.000000,0.000352
NVIDIA L40,1,0,circles_spatial3D_rtc,200,59049,27.000000,2.000000,1,2,3.000000,505.589386,0.011000,0.072125,0.000000,0.000000,0.000346
NVIDIA L40,1,0,circles_spatial3D,200,78732,27.000000,2.000000,1,0,4.000000,676.310852,0.000000,0.126946,0.000000,0.000000,0.000621
NVIDIA L40,1,0,circles_spatial3D,200,78732,27.000000,2.000000,1,1,4.000000,681.427979,0.000000,0.130959,0.000000,0.000000,0.000641
NVIDIA L40,1,0,circles_spatial3D,200,78732,27.000000,2.000000,1,2,4.000000,677.363220,0.000000,0.127487,0.000000,0.000000,0.000623
NVIDIA L40,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,1,0,4.000000,676.310852,0.011000,0.088520,0.000000,0.000000,0.000428
NVIDIA L40,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,1,1,4.000000,681.427979,0.011000,0.092354,0.000000,0.000000,0.000448
NVIDIA L40,1,0,circles_spatial3D_rtc,200,78732,27.000000,2.000000,1,2,4.000000,677.363098,0.011000,0.089641,0.000000,0.000000,0.000434
NVIDIA L40,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.077988,0.000000,0.052661,0.000000,0.000000,0.000249
NVIDIA L40,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883102,0.000000,0.052734,0.000000,0.000000,0.000249
NVIDIA L40,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741501,0.000000,0.052553,0.000000,0.000000,0.000249
NVIDIA L40,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.077972,0.011000,0.041142,0.000000,0.000000,0.000192
NVIDIA L40,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883118,0.011000,0.040656,0.000000,0.000000,0.000189
NVIDIA L40,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741516,0.011000,0.041127,0.000000,0.000000,0.000192
NVIDIA L40,1,0,circles_spatial3D,200,59582,31.000000,2.000000,1,0,2.000000,346.170624,0.000000,0.077805,0.000000,0.000000,0.000375
NVIDIA L40,1,0,circles_spatial3D,200,59582,31.000000,2.000000,1,1,2.000000,348.512299,0.000000,0.078769,0.000000,0.000000,0.000380
NVIDIA L40,1,0,circles_spatial3D,200,59582,31.000000,2.000000,1,2,2.000000,345.474854,0.000000,0.079179,0.000000,0.000000,0.000382
NVIDIA L40,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,1,0,2.000000,346.170624,0.011000,0.056711,0.000000,0.000000,0.000269
NVIDIA L40,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,1,1,2.000000,348.512329,0.011000,0.057248,0.000000,0.000000,0.000272
NVIDIA L40,1,0,circles_spatial3D_rtc,200,59582,31.000000,2.000000,1,2,2.000000,345.474915,0.011000,0.057508,0.000000,0.000000,0.000273
NVIDIA L40,1,0,circles_spatial3D,200,89373,31.000000,2.000000,1,0,3.000000,519.988342,0.000000,0.122385,0.000000,0.000000,0.000598
NVIDIA L40,1,0,circles_spatial3D,200,89373,31.000000,2.000000,1,1,3.000000,523.680969,0.000000,0.123851,0.000000,0.000000,0.000605
NVIDIA L40,1,0,circles_spatial3D,200,89373,31.000000,2.000000,1,2,3.000000,518.879150,0.000000,0.120859,0.000000,0.000000,0.000590
NVIDIA L40,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,1,0,3.000000,519.988281,0.011000,0.074038,0.000000,0.000000,0.000356
NVIDIA L40,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,1,1,3.000000,523.680908,0.011000,0.074329,0.000000,0.000000,0.000357
NVIDIA L40,1,0,circles_spatial3D_rtc,200,89373,31.000000,2.000000,1,2,3.000000,518.879150,0.011000,0.072817,0.000000,0.000000,0.000350
