GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10648.000,0.000,2.266,0.000,0.000,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,1,1.000,10648.000,0.000,2.203,0.000,0.000,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,2,1.000,10648.000,0.000,2.210,0.000,0.000,0.011
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,0,1.000,10648.000,0.310,0.947,0.000,0.000,0.005
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,1,1.000,10648.000,0.007,0.933,0.000,0.000,0.005
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,2,1.000,10648.000,0.007,0.933,0.000,0.000,0.005
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.207,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.200,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.205,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,0.312,0.104,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.006,0.102,0.000,0.000,0.000
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.007,0.105,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,19683,27.000,2.000,0,1.000,19683.000,0.000,3.549,0.000,0.000,0.018
NVIDIA TITAN V,1,0,circles_bruteforce,200,19683,27.000,2.000,1,1.000,19683.000,0.000,3.550,0.000,0.000,0.018
NVIDIA TITAN V,1,0,circles_bruteforce,200,19683,27.000,2.000,2,1.000,19683.000,0.000,3.544,0.000,0.000,0.018
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,0,1.000,19683.000,0.007,1.455,0.000,0.000,0.007
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,1,1.000,19683.000,0.007,1.456,0.000,0.000,0.007
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,2,1.000,19683.000,0.006,1.450,0.000,0.000,0.007
NVIDIA TITAN V,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.209,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.201,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,19683,27.000,2.000,2,1.000,187.777,0.000,0.202,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,0,1.000,188.485,0.007,0.105,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,1,1.000,191.363,0.006,0.104,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,2,1.000,187.777,0.006,0.104,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,29791,31.000,2.000,0,1.000,29791.000,0.000,5.002,0.000,0.000,0.025
NVIDIA TITAN V,1,0,circles_bruteforce,200,29791,31.000,2.000,1,1.000,29791.000,0.000,5.006,0.000,0.000,0.025
NVIDIA TITAN V,1,0,circles_bruteforce,200,29791,31.000,2.000,2,1.000,29791.000,0.000,5.010,0.000,0.000,0.025
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,0,1.000,29791.000,0.007,2.018,0.000,0.000,0.010
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,1,1.000,29791.000,0.006,2.021,0.000,0.000,0.010
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,29791,31.000,2.000,2,1.000,29791.000,0.007,2.019,0.000,0.000,0.010
NVIDIA TITAN V,1,0,circles_spatial3D,200,29791,31.000,2.000,0,1.000,190.947,0.000,0.205,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,29791,31.000,2.000,1,1.000,191.559,0.000,0.217,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,29791,31.000,2.000,2,1.000,191.369,0.000,0.206,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,0,1.000,190.947,0.007,0.108,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,1,1.000,191.559,0.007,0.111,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,2,1.000,191.369,0.007,0.109,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,39304,34.000,2.000,0,1.000,39304.000,0.000,6.367,0.000,0.000,0.032
NVIDIA TITAN V,1,0,circles_bruteforce,200,39304,34.000,2.000,1,1.000,39304.000,0.000,6.380,0.000,0.000,0.032
NVIDIA TITAN V,1,0,circles_bruteforce,200,39304,34.000,2.000,2,1.000,39304.000,0.000,6.380,0.000,0.000,0.032
