GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.205,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.199,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.207,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,0.006,0.104,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.006,0.102,0.000,0.000,0.000
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.006,0.105,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,21296,22.000,2.000,0,2.000,414.338,0.000,0.341,0.000,0.000,0.002
NVIDIA TITAN V,1,0,circles_spatial3D,200,21296,22.000,2.000,1,2.000,414.247,0.000,0.348,0.000,0.000,0.002
NVIDIA TITAN V,1,0,circles_spatial3D,200,21296,22.000,2.000,2,2.000,409.749,0.000,0.352,0.000,0.000,0.002
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,0,2.000,414.338,0.006,0.157,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,1,2.000,414.247,0.006,0.160,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,2,2.000,409.749,0.006,0.160,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,31944,22.000,2.000,0,3.000,615.288,0.000,0.499,0.000,0.000,0.002
NVIDIA TITAN V,1,0,circles_spatial3D,200,31944,22.000,2.000,1,3.000,617.783,0.000,0.490,0.000,0.000,0.002
