GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,64000.000,0.000,12.385,0.000,0.000,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,64000.000,0.000,12.394,0.000,0.000,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,2,1.000,64000.000,0.000,12.398,0.000,0.000,0.062
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,0,1.000,64000.000,0.007,6.533,0.000,0.000,0.033
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,1,1.000,64000.000,0.006,6.537,0.000,0.000,0.033
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,2,1.000,64000.000,0.006,6.532,0.000,0.000,0.033
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,2.000,0,1.000,209.924,0.000,0.221,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,2.000,1,1.000,210.035,0.000,0.222,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,2.000,2,1.000,207.801,0.000,0.218,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,0,1.000,209.924,0.007,0.147,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,1,1.000,210.036,0.006,0.148,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,2,1.000,207.801,0.006,0.145,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,4.000,0,1.000,64000.000,0.000,22.318,0.000,0.000,0.112
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,4.000,1,1.000,64000.000,0.000,22.469,0.000,0.000,0.112
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,4.000,2,1.000,64000.000,0.000,22.696,0.000,0.000,0.113
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,0,1.000,64000.000,0.007,14.035,0.000,0.000,0.070
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,1,1.000,64000.000,0.006,13.998,0.000,0.000,0.070
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,2,1.000,64000.000,0.007,14.235,0.000,0.000,0.071
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,4.000,0,1.000,1695.049,0.000,1.208,0.000,0.000,0.006
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,4.000,1,1.000,1694.177,0.000,1.212,0.000,0.000,0.006
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,4.000,2,1.000,1690.776,0.000,1.206,0.000,0.000,0.006
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,0,1.000,1695.049,0.007,0.630,0.000,0.000,0.003
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,1,1.000,1694.177,0.006,0.639,0.000,0.000,0.003
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,2,1.000,1690.775,0.006,0.641,0.000,0.000,0.003
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,6.000,0,1.000,64000.000,0.000,28.093,0.000,0.000,0.140
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,6.000,1,1.000,64000.000,0.000,28.120,0.000,0.000,0.141
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,6.000,2,1.000,64000.000,0.000,27.972,0.000,0.000,0.140
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,0,1.000,64000.000,0.007,18.898,0.000,0.000,0.094
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,1,1.000,64000.000,0.006,18.886,0.000,0.000,0.094
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,2,1.000,64000.000,0.006,18.904,0.000,0.000,0.095
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,6.000,0,1.000,4279.760,0.000,2.726,0.000,0.000,0.014
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,6.000,1,1.000,4263.248,0.000,2.694,0.000,0.000,0.013
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,6.000,2,1.000,4259.865,0.000,2.694,0.000,0.000,0.013
