GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,64000.000,0.000,10.592,0.000,0.000,0.053
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,64000.000,0.000,10.587,0.000,0.000,0.053
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,2,1.000,64000.000,0.000,10.583,0.000,0.000,0.053
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,0,1.000,64000.000,0.011,5.792,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,1,1.000,64000.000,0.012,5.800,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,2,1.000,64000.000,0.010,5.792,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,0,1.000,209.924,0.000,0.211,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,1,1.000,210.036,0.000,0.212,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,2,1.000,207.801,0.000,0.207,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,0,1.000,209.924,0.011,0.141,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,1,1.000,210.036,0.010,0.144,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,2,1.000,207.801,0.009,0.141,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,0,1.000,64000.000,0.000,19.583,0.000,0.000,0.098
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,1,1.000,64000.000,0.000,19.729,0.000,0.000,0.099
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,2,1.000,64000.000,0.000,19.932,0.000,0.000,0.100
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,0,1.000,64000.000,0.011,12.817,0.000,0.000,0.064
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,1,1.000,64000.000,0.010,12.807,0.000,0.000,0.064
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,2,1.000,64000.000,0.009,13.061,0.000,0.000,0.065
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,0,1.000,1695.049,0.000,1.067,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,1,1.000,1694.177,0.000,1.077,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,2,1.000,1690.776,0.000,1.073,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,0,1.000,1695.049,0.011,0.587,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,1,1.000,1694.177,0.010,0.596,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,2,1.000,1690.776,0.009,0.596,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,6.000,0,1.000,64000.000,0.000,24.135,0.000,0.000,0.121
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,6.000,1,1.000,64000.000,0.000,24.130,0.000,0.000,0.121
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,6.000,2,1.000,64000.000,0.000,24.118,0.000,0.000,0.121
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,0,1.000,64000.000,0.011,17.464,0.000,0.000,0.087
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,1,1.000,64000.000,0.009,17.439,0.000,0.000,0.087
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,6.000,2,1.000,64000.000,0.010,17.483,0.000,0.000,0.087
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,6.000,0,1.000,4279.760,0.000,2.459,0.000,0.000,0.012
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,6.000,1,1.000,4263.248,0.000,2.434,0.000,0.000,0.012
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,6.000,2,1.000,4259.865,0.000,2.438,0.000,0.000,0.012
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,0,1.000,4279.760,0.011,1.289,0.000,0.000,0.006
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,1,1.000,4263.248,0.010,1.278,0.000,0.000,0.006
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,6.000,2,1.000,4259.865,0.010,1.272,0.000,0.000,0.006
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,8.000,0,1.000,64000.000,0.000,24.664,0.000,0.000,0.123
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,8.000,1,1.000,64000.000,0.000,24.727,0.000,0.000,0.124
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,8.000,2,1.000,64000.000,0.000,24.747,0.000,0.000,0.124
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,0,1.000,64000.000,0.012,17.696,0.000,0.000,0.088
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,1,1.000,64000.000,0.010,17.722,0.000,0.000,0.089
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,2,1.000,64000.000,0.011,17.709,0.000,0.000,0.089
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,8.000,0,1.000,9580.162,0.000,5.928,0.000,0.000,0.030
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,8.000,1,1.000,9537.488,0.000,5.893,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,8.000,2,1.000,9542.622,0.000,5.906,0.000,0.000,0.030
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,0,1.000,9580.164,0.011,2.540,0.000,0.000,0.013
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,1,1.000,9537.489,0.010,2.525,0.000,0.000,0.013
