GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10648.000,0.000,2.014,0.000,0.000,0.010
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,1,1.000,10648.000,0.000,1.934,0.000,0.000,0.010
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,2,1.000,10648.000,0.000,1.941,0.000,0.000,0.010
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,0,1.000,10648.000,8.675,0.920,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,1,1.000,10648.000,0.014,0.866,0.000,0.000,0.004
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,2,1.000,10648.000,0.010,0.865,0.000,0.000,0.004
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.186,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.181,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.187,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,9.352,0.101,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.014,0.099,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.010,0.102,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000,2.000,0,1.000,19683.000,0.000,3.105,0.000,0.000,0.016
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000,2.000,1,1.000,19683.000,0.000,3.112,0.000,0.000,0.016
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000,2.000,2,1.000,19683.000,0.000,3.101,0.000,0.000,0.015
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,0,1.000,19683.000,0.011,1.318,0.000,0.000,0.007
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,1,1.000,19683.000,0.010,1.319,0.000,0.000,0.007
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,2,1.000,19683.000,0.011,1.315,0.000,0.000,0.007
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.187,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.180,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,2,1.000,187.777,0.000,0.183,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,0,1.000,188.485,0.010,0.101,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,1,1.000,191.363,0.010,0.100,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,2,1.000,187.777,0.011,0.100,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000,2.000,0,1.000,29791.000,0.000,4.353,0.000,0.000,0.022
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000,2.000,1,1.000,29791.000,0.000,4.357,0.000,0.000,0.022
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,29791,31.000,2.000,2,1.000,29791.000,0.000,4.362,0.000,0.000,0.022
