GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,0.057,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,2,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,3,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,4,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,5,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,6,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,7,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,8,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,9,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,10,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,11,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,12,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,13,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,14,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,15,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,16,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,17,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,18,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,19,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,20,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,21,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,22,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,23,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,24,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,25,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,26,1.000,0.052,64000.000,5.000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,27,1.000,0.052,64000.000,5.000
