GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,209.924133,0.000000,0.373058,0.000000,0.000000,0.001853
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,210.035461,0.000000,0.331671,0.000000,0.000000,0.001647
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,207.800583,0.000000,0.328279,0.000000,0.000000,0.001630
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,209.924164,10.450000,0.222430,0.000000,0.000000,0.001100
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,210.035461,0.017000,0.206493,0.000000,0.000000,0.001021
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,207.800568,0.011000,0.204812,0.000000,0.000000,0.001012
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1695.048584,0.000000,2.167758,0.000000,0.000000,0.010827
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1694.177002,0.000000,2.154721,0.000000,0.000000,0.010762
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1690.775635,0.000000,2.158350,0.000000,0.000000,0.010780
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1695.048462,0.010000,1.249088,0.000000,0.000000,0.006234
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1694.177002,0.010000,1.257720,0.000000,0.000000,0.006277
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1690.775635,0.011000,1.252633,0.000000,0.000000,0.006251
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,4279.759766,0.000000,4.519497,0.000000,0.000000,0.022586
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,4263.247559,0.000000,4.478690,0.000000,0.000000,0.022381
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,4259.865234,0.000000,4.497707,0.000000,0.000000,0.022476
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,4279.759766,0.011000,2.492862,0.000000,0.000000,0.012452
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,4263.247559,0.010000,2.477598,0.000000,0.000000,0.012376
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,4259.865234,0.011000,2.501639,0.000000,0.000000,0.012496
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,9580.164062,0.000000,6.943248,0.000000,0.000000,0.034704
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,9537.490234,0.000000,6.870187,0.000000,0.000000,0.034339
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,9542.624023,0.000000,6.906608,0.000000,0.000000,0.034521
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,9580.165039,0.011000,4.519393,0.000000,0.000000,0.022585
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,9537.490234,0.012000,4.506508,0.000000,0.000000,0.022521
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,9542.624023,0.011000,4.488994,0.000000,0.000000,0.022433
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,209.924164,0.000000,0.212292,0.000000,0.000000,0.001050
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,210.035507,0.000000,0.212550,0.000000,0.000000,0.001051
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,207.800583,0.000000,0.207796,0.000000,0.000000,0.001027
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,209.924133,0.011000,0.143272,0.000000,0.000000,0.000704
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,210.035492,0.011000,0.145041,0.000000,0.000000,0.000713
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,207.800568,0.011000,0.141408,0.000000,0.000000,0.000695
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1695.048584,0.000000,1.066224,0.000000,0.000000,0.005319
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1694.177002,0.000000,1.076564,0.000000,0.000000,0.005371
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1690.775513,0.000000,1.073111,0.000000,0.000000,0.005354
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1695.048584,0.010000,0.586123,0.000000,0.000000,0.002919
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1694.177002,0.011000,0.596674,0.000000,0.000000,0.002971
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1690.775513,0.010000,0.596638,0.000000,0.000000,0.002971
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,4279.759766,0.000000,2.463223,0.000000,0.000000,0.012304
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,4263.247559,0.000000,2.438472,0.000000,0.000000,0.012180
