GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.188,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.183,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.188,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,0.009,0.102,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.010,0.100,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.010,0.104,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,0,2.000,414.338,0.000,0.308,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,1,2.000,414.247,0.000,0.314,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,2,2.000,409.749,0.000,0.314,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,0,2.000,414.338,0.010,0.153,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,1,2.000,414.247,0.010,0.155,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,2,2.000,409.749,0.010,0.155,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,0,3.000,615.287,0.000,0.442,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,1,3.000,617.783,0.000,0.434,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,2,3.000,610.684,0.000,0.441,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,0,3.000,615.288,0.010,0.209,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,1,3.000,617.783,0.010,0.205,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,2,3.000,610.684,0.010,0.211,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,0,4.000,817.361,0.000,0.577,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,1,4.000,827.121,0.000,0.563,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,2,4.000,814.049,0.000,0.581,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,0,4.000,817.361,0.010,0.268,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,1,4.000,827.121,0.010,0.263,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,2,4.000,814.049,0.009,0.270,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.190,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.181,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,2,1.000,187.777,0.000,0.184,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,0,1.000,188.485,0.009,0.102,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,1,1.000,191.363,0.009,0.102,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,2,1.000,187.777,0.010,0.102,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,0,2.000,373.103,0.000,0.302,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,1,2.000,379.059,0.000,0.303,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,2,2.000,373.572,0.000,0.315,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39366,27.000,2.000,0,2.000,373.103,0.010,0.149,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39366,27.000,2.000,1,2.000,379.059,0.010,0.152,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39366,27.000,2.000,2,2.000,373.572,0.010,0.156,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,0,3.000,553.194,0.000,0.418,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,1,3.000,563.149,0.000,0.438,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,2,3.000,556.251,0.000,0.451,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,0,3.000,553.194,0.009,0.234,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,1,3.000,563.149,0.011,0.243,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,2,3.000,556.251,0.010,0.244,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,0,4.000,733.996,0.000,0.558,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,1,4.000,748.601,0.000,0.572,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,2,4.000,743.532,0.000,0.563,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,0,4.000,733.996,0.011,0.345,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,1,4.000,748.601,0.012,0.351,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,2,4.000,743.532,0.010,0.347,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,0,1.000,190.947,0.000,0.184,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,1,1.000,191.559,0.000,0.198,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,2,1.000,191.369,0.000,0.186,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,0,1.000,190.947,0.012,0.102,0.000,0.000,0.000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,1,1.000,191.559,0.010,0.107,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,29791,31.000,2.000,2,1.000,191.369,0.009,0.103,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59582,31.000,2.000,0,2.000,378.269,0.000,0.311,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59582,31.000,2.000,1,2.000,381.970,0.000,0.325,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59582,31.000,2.000,2,2.000,381.072,0.000,0.324,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59582,31.000,2.000,0,2.000,378.269,0.011,0.187,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59582,31.000,2.000,1,2.000,381.970,0.009,0.199,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59582,31.000,2.000,2,2.000,381.072,0.009,0.189,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,89373,31.000,2.000,0,3.000,564.784,0.000,0.583,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,89373,31.000,2.000,1,3.000,572.229,0.000,0.634,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,89373,31.000,2.000,2,3.000,570.090,0.000,0.605,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,89373,31.000,2.000,0,3.000,564.784,0.009,0.277,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,89373,31.000,2.000,1,3.000,572.229,0.009,0.283,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,89373,31.000,2.000,2,3.000,570.090,0.009,0.277,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,119164,31.000,2.000,0,4.000,753.375,0.000,0.909,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,119164,31.000,2.000,1,4.000,760.469,0.000,0.896,0.000,0.000,0.004
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,119164,31.000,2.000,2,4.000,757.545,0.000,0.914,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,119164,31.000,2.000,0,4.000,753.375,0.010,0.490,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,119164,31.000,2.000,1,4.000,760.470,0.010,0.504,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,119164,31.000,2.000,2,4.000,757.545,0.010,0.486,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000,2.000,0,1.000,207.242,0.000,0.197,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000,2.000,1,1.000,207.567,0.000,0.194,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000,2.000,2,1.000,208.122,0.000,0.196,0.000,0.000,0.001
