GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,8.442939,0.000000,0.000000,0.042204
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,8.436899,0.000000,0.000000,0.042173
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,8.439112,0.000000,0.000000,0.042185
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.012000,4.882255,0.000000,0.000000,0.024400
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.010000,4.876065,0.000000,0.000000,0.024369
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.011000,4.881926,0.000000,0.000000,0.024399
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.000000,0.141886,0.000000,0.000000,0.000698
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.144556,0.000000,0.000000,0.000711
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.141307,0.000000,0.000000,0.000695
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.012000,0.099606,0.000000,0.000000,0.000487
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.011000,0.100761,0.000000,0.000000,0.000492
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.010000,0.099610,0.000000,0.000000,0.000487
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,9.960987,0.000000,0.000000,0.049794
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,9.967406,0.000000,0.000000,0.049826
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,9.975418,0.000000,0.000000,0.049866
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.011000,5.942442,0.000000,0.000000,0.029701
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.011000,5.941376,0.000000,0.000000,0.029696
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.011000,5.945179,0.000000,0.000000,0.029715
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.611926,0.000000,0.000000,0.003048
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.609550,0.000000,0.000000,0.003036
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.602846,0.000000,0.000000,0.003003
