GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.000000,0.251306,0.000000,0.000000,0.001246
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.000000,0.253916,0.000000,0.000000,0.001259
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824310,0.000000,0.255055,0.000000,0.000000,0.001264
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.011000,0.185930,0.000000,0.000000,0.000918
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070251,0.011000,0.186888,0.000000,0.000000,0.000923
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824310,0.011000,0.187068,0.000000,0.000000,0.000924
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.000000,1.428967,0.000000,0.000000,0.007134
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,1.438980,0.000000,0.000000,0.007184
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,1.439132,0.000000,0.000000,0.007185
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.011000,1.017593,0.000000,0.000000,0.005077
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.011000,1.022612,0.000000,0.000000,0.005102
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.011000,1.023817,0.000000,0.000000,0.005108
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,3728.162598,0.000000,3.407483,0.000000,0.000000,0.017026
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.000000,3.385864,0.000000,0.000000,0.016918
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,2,1.000000,3716.738525,0.000000,3.402662,0.000000,0.000000,0.017002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.011000,2.080112,0.000000,0.000000,0.010389
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1,1.000000,3721.640625,0.011000,2.090647,0.000000,0.000000,0.010442
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,2,1.000000,3716.738037,0.011000,2.102132,0.000000,0.000000,0.010499
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.000000,6.638367,0.000000,0.000000,0.033180
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.000000,6.598987,0.000000,0.000000,0.032984
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,0,2,1.000000,8951.185547,0.000000,6.485120,0.000000,0.000000,0.032414
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,0,1.000000,8993.427734,0.011000,3.733763,0.000000,0.000000,0.018657
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,1,1.000000,8935.468750,0.011000,3.774491,0.000000,0.000000,0.018861
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,0,2,1.000000,8951.184570,0.011000,3.735724,0.000000,0.000000,0.018667
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.000000,0.142047,0.000000,0.000000,0.000699
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070221,0.000000,0.144250,0.000000,0.000000,0.000710
