GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.102023,0.000000,0.000000,0.000499
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.104924,0.000000,0.000000,0.000513
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351868,0.000000,0.105376,0.000000,0.000000,0.000516
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.010000,0.065807,0.000000,0.000000,0.000318
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.427017,0.010000,0.067148,0.000000,0.000000,0.000324
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351852,0.010000,0.066831,0.000000,0.000000,0.000322
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698151,0.000000,0.166070,0.000000,0.000000,0.000819
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086823,0.000000,0.161949,0.000000,0.000000,0.000799
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.000000,0.167133,0.000000,0.000000,0.000824
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.011000,0.095563,0.000000,0.000000,0.000467
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086823,0.010000,0.093729,0.000000,0.000000,0.000457
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013702,0.010000,0.095213,0.000000,0.000000,0.000465
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464111,0.000000,0.229262,0.000000,0.000000,0.001135
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454346,0.000000,0.226921,0.000000,0.000000,0.001123
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.000000,0.227912,0.000000,0.000000,0.001128
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.010000,0.123595,0.000000,0.000000,0.000607
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454590,0.010000,0.122604,0.000000,0.000000,0.000602
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.010000,0.123179,0.000000,0.000000,0.000604
