GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318497,0.000000,0.248071,0.000000,0.000000,0.001228
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070221,0.000000,0.250267,0.000000,0.000000,0.001239
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824310,0.000000,0.251892,0.000000,0.000000,0.001247
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.013000,0.181918,0.000000,0.000000,0.000897
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070221,0.011000,0.182543,0.000000,0.000000,0.000900
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824341,0.012000,0.182719,0.000000,0.000000,0.000901
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799194,0.000000,1.428746,0.000000,0.000000,0.007131
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,1.436417,0.000000,0.000000,0.007169
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,1.441361,0.000000,0.000000,0.007194
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799194,0.011000,1.013600,0.000000,0.000000,0.005055
