GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,8.447697,0.000000,0.000000,0.042225
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,8.441968,0.000000,0.000000,0.042197
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,8.444724,0.000000,0.000000,0.042210
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.013000,4.850133,0.000000,0.000000,0.024238
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.016000,4.848588,0.000000,0.000000,0.024230
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.011000,4.851849,0.000000,0.000000,0.024246
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.000000,0.138247,0.000000,0.000000,0.000679
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070251,0.000000,0.140179,0.000000,0.000000,0.000688
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824341,0.000000,0.137392,0.000000,0.000000,0.000674
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318497,0.012000,0.091729,0.000000,0.000000,0.000446
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070221,0.010000,0.093039,0.000000,0.000000,0.000452
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.011000,0.091948,0.000000,0.000000,0.000447
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,9.974576,0.000000,0.000000,0.049859
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,9.970814,0.000000,0.000000,0.049841
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,9.974642,0.000000,0.000000,0.049860
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.013000,5.783211,0.000000,0.000000,0.028903
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.011000,5.777994,0.000000,0.000000,0.028877
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.011000,5.793118,0.000000,0.000000,0.028953
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.609796,0.000000,0.000000,0.003036
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.605609,0.000000,0.000000,0.003015
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.599428,0.000000,0.000000,0.002984
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.018000,0.343562,0.000000,0.000000,0.001705
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.011000,0.347965,0.000000,0.000000,0.001727
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.011000,0.340662,0.000000,0.000000,0.001691
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,13.344461,0.000000,0.000000,0.066709
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,13.354269,0.000000,0.000000,0.066758
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,13.360320,0.000000,0.000000,0.066788
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.013000,7.811378,0.000000,0.000000,0.039044
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.011000,7.791173,0.000000,0.000000,0.038943
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.011000,7.833898,0.000000,0.000000,0.039156
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.000000,1.640049,0.000000,0.000000,0.008187
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,1.634869,0.000000,0.000000,0.008161
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738037,0.000000,1.622654,0.000000,0.000000,0.008100
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.011000,0.915169,0.000000,0.000000,0.004563
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.011000,0.914573,0.000000,0.000000,0.004560
Tesla V100-SXM2-32GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.737793,0.012000,0.907277,0.000000,0.000000,0.004524
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.000000,17.507715,0.000000,0.000000,0.087525
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.000000,17.559469,0.000000,0.000000,0.087784
Tesla V100-SXM2-32GB,1,1,circles_bruteforce,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.000000,17.650204,0.000000,0.000000,0.088237
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.013000,10.294988,0.000000,0.000000,0.051462
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.011000,10.254414,0.000000,0.000000,0.051258
Tesla V100-SXM2-32GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.011000,10.395213,0.000000,0.000000,0.051963
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,4.138026,0.000000,0.000000,0.020677
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.000000,4.146217,0.000000,0.000000,0.020718
Tesla V100-SXM2-32GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,4.062181,0.000000,0.000000,0.020298
