GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.000000,10.518339,0.000000,0.000000,0.052578
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.000000,10.515317,0.000000,0.000000,0.052563
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.000000,10.519499,0.000000,0.000000,0.052584
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,0,1.000000,64000.000000,0.020000,4.795949,0.000000,0.000000,0.023966
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,1,1.000000,64000.000000,0.018000,4.791945,0.000000,0.000000,0.023946
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1,2,1.000000,64000.000000,0.018000,4.797193,0.000000,0.000000,0.023972
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,194.318481,0.000000,0.111958,0.000000,0.000000,0.000546
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1,1.000000,194.070236,0.000000,0.112053,0.000000,0.000000,0.000547
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,2,1.000000,192.824310,0.000000,0.111537,0.000000,0.000000,0.000544
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,0,1.000000,194.318512,0.019000,0.089260,0.000000,0.000000,0.000434
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1,1.000000,194.070221,0.017000,0.090272,0.000000,0.000000,0.000438
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,2,1.000000,192.824356,0.018000,0.090113,0.000000,0.000000,0.000437
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.000000,11.341324,0.000000,0.000000,0.056693
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.000000,11.340711,0.000000,0.000000,0.056690
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.000000,11.338315,0.000000,0.000000,0.056678
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,0,1.000000,64000.000000,0.019000,5.732111,0.000000,0.000000,0.028647
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,1,1.000000,64000.000000,0.017000,5.731200,0.000000,0.000000,0.028642
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1,2,1.000000,64000.000000,0.017000,5.726340,0.000000,0.000000,0.028618
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.000000,0.438357,0.000000,0.000000,0.002179
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.000000,0.436015,0.000000,0.000000,0.002167
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.000000,0.431598,0.000000,0.000000,0.002145
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,0,1.000000,1395.799316,0.018000,0.319363,0.000000,0.000000,0.001584
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1,1.000000,1399.385010,0.018000,0.318953,0.000000,0.000000,0.001582
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,2,1.000000,1395.177368,0.017000,0.315372,0.000000,0.000000,0.001564
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.000000,13.046727,0.000000,0.000000,0.065220
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.000000,13.029404,0.000000,0.000000,0.065133
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.000000,13.067845,0.000000,0.000000,0.065325
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,0,1.000000,64000.000000,0.019000,7.681570,0.000000,0.000000,0.038395
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,1,1.000000,64000.000000,0.017000,7.673501,0.000000,0.000000,0.038354
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1,2,1.000000,64000.000000,0.018000,7.705309,0.000000,0.000000,0.038513
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.000000,1.153007,0.000000,0.000000,0.005752
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.000000,1.146740,0.000000,0.000000,0.005721
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,1,2,1.000000,3716.738525,0.000000,1.141207,0.000000,0.000000,0.005693
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,0,1.000000,3728.162109,0.018000,0.840283,0.000000,0.000000,0.004188
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1,1.000000,3721.640381,0.017000,0.832882,0.000000,0.000000,0.004151
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,2,1.000000,3716.738525,0.017000,0.829991,0.000000,0.000000,0.004137
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.000000,15.235514,0.000000,0.000000,0.076164
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.000000,15.234146,0.000000,0.000000,0.076157
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.000000,15.385958,0.000000,0.000000,0.076916
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,0,1.000000,64000.000000,0.025000,10.092474,0.000000,0.000000,0.050449
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,1,1.000000,64000.000000,0.017000,10.071166,0.000000,0.000000,0.050342
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1,2,1.000000,64000.000000,0.017000,10.222003,0.000000,0.000000,0.051096
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.000000,2.933003,0.000000,0.000000,0.014652
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.000000,2.938276,0.000000,0.000000,0.014678
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,2,1.000000,8951.184570,0.000000,2.913901,0.000000,0.000000,0.014556
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,0,1.000000,8993.427734,0.019000,2.098239,0.000000,0.000000,0.010478
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,1,1.000000,8935.468750,0.017000,2.094561,0.000000,0.000000,0.010460
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,8.000000,1,2,1.000000,8951.185547,0.018000,2.068009,0.000000,0.000000,0.010327
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.000000,16.987314,0.000000,0.000000,0.084923
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.000000,16.977297,0.000000,0.000000,0.084873
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1,2,1.000000,64000.000000,0.000000,17.146000,0.000000,0.000000,0.085717
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,0,1.000000,64000.000000,0.018000,12.056885,0.000000,0.000000,0.060271
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1,1,1.000000,64000.000000,0.017000,12.041699,0.000000,0.000000,0.060195
