GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.077502,0.000000,0.000000,0.000375
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.000000,0.079469,0.000000,0.000000,0.000384
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.000000,0.079819,0.000000,0.000000,0.000386
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.017000,0.058702,0.000000,0.000000,0.000280
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.017000,0.060273,0.000000,0.000000,0.000288
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.017000,0.060319,0.000000,0.000000,0.000288
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.000000,0.122447,0.000000,0.000000,0.000599
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086823,0.000000,0.120094,0.000000,0.000000,0.000587
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013855,0.000000,0.123610,0.000000,0.000000,0.000605
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.018000,0.087478,0.000000,0.000000,0.000424
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086792,0.017000,0.085563,0.000000,0.000000,0.000415
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.017000,0.087330,0.000000,0.000000,0.000424
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464111,0.000000,0.165732,0.000000,0.000000,0.000814
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454468,0.000000,0.164276,0.000000,0.000000,0.000808
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948425,0.000000,0.164197,0.000000,0.000000,0.000808
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.017000,0.114090,0.000000,0.000000,0.000557
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454407,0.018000,0.114878,0.000000,0.000000,0.000561
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.017000,0.113674,0.000000,0.000000,0.000556
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.163879,0.000000,0.207854,0.000000,0.000000,0.001026
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250732,0.000000,0.209312,0.000000,0.000000,0.001034
