GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,64000.000,0.000,10.562,0.000,0.000,0.053
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,1,1.000,64000.000,0.000,10.554,0.000,0.000,0.053
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,2.000,2,1.000,64000.000,0.000,10.552,0.000,0.000,0.053
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,0,1.000,64000.000,0.059,5.778,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,1,1.000,64000.000,0.061,5.785,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,2.000,2,1.000,64000.000,0.062,5.781,0.000,0.000,0.029
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,0,1.000,209.924,0.000,0.222,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,1,1.000,210.036,0.000,0.221,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,2.000,2,1.000,207.801,0.000,0.217,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,0,1.000,209.924,0.060,0.149,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,1,1.000,210.036,0.057,0.151,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,2.000,2,1.000,207.801,0.056,0.148,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,0,1.000,64000.000,0.000,19.512,0.000,0.000,0.098
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,1,1.000,64000.000,0.000,19.680,0.000,0.000,0.098
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,4.000,2,1.000,64000.000,0.000,19.852,0.000,0.000,0.099
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,0,1.000,64000.000,0.060,12.783,0.000,0.000,0.064
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,1,1.000,64000.000,0.054,12.780,0.000,0.000,0.064
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,64000,40.000,4.000,2,1.000,64000.000,0.054,13.037,0.000,0.000,0.065
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,0,1.000,1695.049,0.000,1.078,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,1,1.000,1694.177,0.000,1.090,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,64000,40.000,4.000,2,1.000,1690.776,0.000,1.083,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,0,1.000,1695.049,0.059,0.593,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,1,1.000,1694.177,0.054,0.601,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,64000,40.000,4.000,2,1.000,1690.776,0.056,0.602,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,6.000,0,1.000,64000.000,0.000,24.048,0.000,0.000,0.120
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,64000,40.000,6.000,1,1.000,64000.000,0.000,24.082,0.000,0.000,0.120
