GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.199,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.194,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.199,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,0.054,0.111,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.061,0.108,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.060,0.112,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,0,2.000,414.338,0.000,0.319,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,1,2.000,414.247,0.000,0.324,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,21296,22.000,2.000,2,2.000,409.749,0.000,0.325,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,0,2.000,414.338,0.054,0.161,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,1,2.000,414.247,0.058,0.165,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,21296,22.000,2.000,2,2.000,409.749,0.054,0.164,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,0,3.000,615.288,0.000,0.454,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,1,3.000,617.783,0.000,0.444,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,31944,22.000,2.000,2,3.000,610.684,0.000,0.452,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,0,3.000,615.288,0.058,0.216,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,1,3.000,617.783,0.053,0.213,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,31944,22.000,2.000,2,3.000,610.684,0.055,0.218,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,0,4.000,817.361,0.000,0.586,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,1,4.000,827.121,0.000,0.572,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,42592,22.000,2.000,2,4.000,814.050,0.000,0.589,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,0,4.000,817.361,0.055,0.274,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,1,4.000,827.121,0.057,0.269,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,42592,22.000,2.000,2,4.000,814.050,0.055,0.276,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.201,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.193,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000,2.000,2,1.000,187.777,0.000,0.196,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,0,1.000,188.485,0.058,0.112,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,1,1.000,191.363,0.065,0.109,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,19683,27.000,2.000,2,1.000,187.777,0.058,0.110,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,0,2.000,373.103,0.000,0.311,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,1,2.000,379.058,0.000,0.314,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39366,27.000,2.000,2,2.000,373.572,0.000,0.326,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39366,27.000,2.000,0,2.000,373.103,0.057,0.158,0.000,0.000,0.001
