GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10648.000,0.000,1.953,0.000,0.000,0.010
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,1,1.000,10648.000,0.000,1.887,0.000,0.000,0.009
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,10648,22.000,2.000,2,1.000,10648.000,0.000,1.888,0.000,0.000,0.009
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,0,1.000,10648.000,22.674,0.903,0.000,0.000,0.005
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,1,1.000,10648.000,0.064,0.860,0.000,0.000,0.004
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,2,1.000,10648.000,0.059,0.859,0.000,0.000,0.004
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.189,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.187,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.192,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,25.017,0.125,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.063,0.114,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.063,0.111,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_bruteforce,200,19683,27.000,2.000,0,1.000,19683.000,0.000,3.028,0.000,0.000,0.015
