GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,187.127,0.002,78.475,0.002,0.038,0.777
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,189.607,0.002,81.112,0.002,0.030,0.803
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,2,1.000,187.533,0.002,78.413,0.002,0.028,0.776
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,0,1.000,187.127,7.583,60.244,0.002,0.030,0.595
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,1,1.000,189.607,7.546,61.274,0.002,0.029,0.605
TITAN V,1,0,circles_spatial3D_rtc,100,10648,22.000,2.000,2,1.000,187.533,7.547,60.141,0.002,0.028,0.594
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,0,2.000,372.037,0.003,143.647,0.002,0.037,1.429
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,1,2.000,377.284,0.002,147.078,0.002,0.036,1.463
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,2,2.000,375.349,0.003,145.373,0.002,0.037,1.446
TITAN V,1,0,circles_spatial3D_rtc,100,21296,22.000,2.000,0,2.000,372.037,7.568,93.590,0.002,0.028,0.928
TITAN V,1,0,circles_spatial3D_rtc,100,21296,22.000,2.000,1,2.000,377.284,7.558,96.084,0.002,0.029,0.953
TITAN V,1,0,circles_spatial3D_rtc,100,21296,22.000,2.000,2,2.000,375.349,7.588,95.045,0.002,0.030,0.943
TITAN V,1,0,circles_spatial3D,100,31944,22.000,2.000,0,3.000,558.238,0.002,214.602,0.002,0.036,2.138
TITAN V,1,0,circles_spatial3D,100,31944,22.000,2.000,1,3.000,565.884,0.002,216.471,0.002,0.037,2.157
TITAN V,1,0,circles_spatial3D,100,31944,22.000,2.000,2,3.000,561.416,0.003,217.855,0.002,0.037,2.171
TITAN V,1,0,circles_spatial3D_rtc,100,31944,22.000,2.000,0,3.000,558.238,7.649,141.864,0.002,0.031,1.411
TITAN V,1,0,circles_spatial3D_rtc,100,31944,22.000,2.000,1,3.000,565.884,7.697,142.404,0.002,0.030,1.416
TITAN V,1,0,circles_spatial3D_rtc,100,31944,22.000,2.000,2,3.000,561.416,7.649,142.917,0.002,0.031,1.421
TITAN V,1,0,circles_spatial3D,100,42592,22.000,2.000,0,4.000,743.852,0.003,464.875,0.002,0.038,4.641
TITAN V,1,0,circles_spatial3D,100,42592,22.000,2.000,1,4.000,752.054,0.002,466.035,0.002,0.037,4.652
TITAN V,1,0,circles_spatial3D,100,42592,22.000,2.000,2,4.000,746.959,0.002,463.814,0.002,0.039,4.630
TITAN V,1,0,circles_spatial3D_rtc,100,42592,22.000,2.000,0,4.000,743.852,7.634,195.436,0.002,0.031,1.946
TITAN V,1,0,circles_spatial3D_rtc,100,42592,22.000,2.000,1,4.000,752.054,7.617,197.295,0.002,0.032,1.965
TITAN V,1,0,circles_spatial3D_rtc,100,42592,22.000,2.000,2,4.000,746.959,7.605,197.523,0.002,0.030,1.967
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,0,1.000,174.761,0.002,79.763,0.002,0.037,0.790
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,1,1.000,176.129,0.003,81.357,0.002,0.030,0.806
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,2,1.000,176.009,0.002,81.015,0.002,0.035,0.802
TITAN V,1,0,circles_spatial3D_rtc,100,19683,27.000,2.000,0,1.000,174.761,7.594,59.608,0.002,0.030,0.588
TITAN V,1,0,circles_spatial3D_rtc,100,19683,27.000,2.000,1,1.000,176.129,7.563,60.648,0.002,0.030,0.599
TITAN V,1,0,circles_spatial3D_rtc,100,19683,27.000,2.000,2,1.000,176.009,7.584,60.689,0.002,0.029,0.599
TITAN V,1,0,circles_spatial3D,100,39366,27.000,2.000,0,2.000,348.212,0.003,233.479,0.002,0.037,2.327
TITAN V,1,0,circles_spatial3D,100,39366,27.000,2.000,1,2.000,350.857,0.003,233.546,0.002,0.038,2.328
TITAN V,1,0,circles_spatial3D,100,39366,27.000,2.000,2,2.000,348.820,0.003,235.393,0.002,0.038,2.346
TITAN V,1,0,circles_spatial3D_rtc,100,39366,27.000,2.000,0,2.000,348.212,7.621,109.564,0.002,0.031,1.088
TITAN V,1,0,circles_spatial3D_rtc,100,39366,27.000,2.000,1,2.000,350.857,7.581,109.900,0.002,0.032,1.091
TITAN V,1,0,circles_spatial3D_rtc,100,39366,27.000,2.000,2,2.000,348.820,7.624,110.589,0.002,0.031,1.098
TITAN V,1,0,circles_spatial3D,100,59049,27.000,2.000,0,3.000,522.768,0.002,370.047,0.002,0.037,3.692
TITAN V,1,0,circles_spatial3D,100,59049,27.000,2.000,1,3.000,523.931,0.002,369.319,0.002,0.037,3.685
TITAN V,1,0,circles_spatial3D,100,59049,27.000,2.000,2,3.000,522.967,0.003,369.829,0.002,0.039,3.690
TITAN V,1,0,circles_spatial3D_rtc,100,59049,27.000,2.000,0,3.000,522.768,7.627,243.037,0.002,0.031,2.422
TITAN V,1,0,circles_spatial3D_rtc,100,59049,27.000,2.000,1,3.000,523.931,7.621,243.994,0.002,0.033,2.432
TITAN V,1,0,circles_spatial3D_rtc,100,59049,27.000,2.000,2,3.000,522.967,7.620,244.352,0.002,0.032,2.435
TITAN V,1,0,circles_spatial3D,100,78732,27.000,2.000,0,4.000,695.932,0.002,895.334,0.002,0.032,8.945
TITAN V,1,0,circles_spatial3D,100,78732,27.000,2.000,1,4.000,697.904,0.002,902.529,0.002,0.039,9.017
TITAN V,1,0,circles_spatial3D,100,78732,27.000,2.000,2,4.000,696.393,0.002,802.127,0.002,0.032,8.013
TITAN V,1,0,circles_spatial3D_rtc,100,78732,27.000,2.000,0,4.000,695.932,7.655,435.791,0.002,0.039,4.350
TITAN V,1,0,circles_spatial3D_rtc,100,78732,27.000,2.000,1,4.000,697.904,7.674,436.078,0.002,0.032,4.353
TITAN V,1,0,circles_spatial3D_rtc,100,78732,27.000,2.000,2,4.000,696.393,7.657,435.417,0.002,0.032,4.346
TITAN V,1,0,circles_spatial3D,100,29791,31.000,2.000,0,1.000,179.372,0.002,87.173,0.002,0.036,0.864
TITAN V,1,0,circles_spatial3D,100,29791,31.000,2.000,1,1.000,180.762,0.002,88.233,0.002,0.035,0.875
TITAN V,1,0,circles_spatial3D,100,29791,31.000,2.000,2,1.000,180.060,0.003,87.818,0.002,0.037,0.870
TITAN V,1,0,circles_spatial3D_rtc,100,29791,31.000,2.000,0,1.000,179.372,7.584,69.100,0.002,0.030,0.683
TITAN V,1,0,circles_spatial3D_rtc,100,29791,31.000,2.000,1,1.000,180.762,7.571,69.443,0.002,0.031,0.687
