GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1.000000,64000.000000,0.000000,7.550535,0.000000,0.000000,0.037735,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,4.000000,1.000000,64000.000000,0.000000,7.846829,0.000000,0.000000,0.039217,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,6.000000,1.000000,64000.000000,0.000000,8.942580,0.000000,0.000000,0.044695,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,8.000000,1.000000,64000.000000,0.000000,10.330819,0.000000,0.000000,0.051636,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,10.000000,1.000000,64000.000000,0.000000,11.324404,0.000000,0.000000,0.056604,64000.000000,25.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,12.000000,1.000000,64000.000000,0.000000,11.777027,0.000000,0.000000,0.058867,64000.000000,30.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,14.000000,1.000000,64000.000000,0.000000,11.989536,0.000000,0.000000,0.059930,64000.000000,35.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,16.000000,1.000000,64000.000000,0.000000,12.056755,0.000000,0.000000,0.060266,64000.000000,40.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,18.000000,1.000000,64000.000000,0.000000,12.057170,0.000000,0.000000,0.060268,64000.000000,45.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,20.000000,1.000000,64000.000000,0.000000,12.031828,0.000000,0.000000,0.060141,64000.000000,50.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,22.000000,1.000000,64000.000000,0.000000,12.022684,0.000000,0.000000,0.060096,64000.000000,55.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,24.000000,1.000000,64000.000000,0.000000,12.022660,0.000000,0.000000,0.060095,64000.000000,60.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,26.000000,1.000000,64000.000000,0.000000,12.026793,0.000000,0.000000,0.060115,64000.000000,65.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,28.000000,1.000000,64000.000000,0.000000,12.026674,0.000000,0.000000,0.060116,64000.000000,70.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,30.000000,1.000000,64000.000000,0.000000,12.025962,0.000000,0.000000,0.060112,64000.000000,75.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,32.000000,1.000000,64000.000000,0.000000,12.022676,0.000000,0.000000,0.060095,64000.000000,80.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,34.000000,1.000000,64000.000000,0.000000,12.017157,0.000000,0.000000,0.060068,64000.000000,85.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,36.000000,1.000000,64000.000000,0.000000,12.008528,0.000000,0.000000,0.060025,64000.000000,90.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,38.000000,1.000000,64000.000000,0.000000,11.995840,0.000000,0.000000,0.059961,64000.000000,95.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,40.000000,1.000000,64000.000000,0.000000,11.978373,0.000000,0.000000,0.059874,64000.000000,100.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1.000000,64000.000000,0.010667,3.786387,0.000000,0.000000,0.018915,64000.000000,5.000000
