GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,10648,22.000000,2.000000,1.000000,10648.000000,0.000000,1.326535,0.000000,0.000000,0.006615,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,19683,27.000000,2.000000,1.000000,19683.000000,0.000000,2.358186,0.000000,0.000000,0.011774,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,29791,31.000000,2.000000,1.000000,29791.000000,0.000000,3.535932,0.000000,0.000000,0.017663,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,39304,34.000000,2.000000,1.000000,39304.000000,0.000000,4.652250,0.000000,0.000000,0.023244,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,50653,37.000000,2.000000,1.000000,50653.000000,0.000000,5.983936,0.000000,0.000000,0.029903,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,59319,39.000000,2.000000,1.000000,59319.000000,0.000000,7.000588,0.000000,0.000000,0.034986,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,68921,41.000000,2.000000,1.000000,68921.000000,0.000000,8.128395,0.000000,0.000000,0.040625,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,79507,43.000000,2.000000,1.000000,79507.000000,0.000000,9.370974,0.000000,0.000000,0.046837,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,91125,45.000000,2.000000,1.000000,91125.000000,0.000000,16.169675,0.000000,0.000000,0.080830,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,97336,46.000000,2.000000,1.000000,97336.000000,0.000000,17.261369,0.000000,0.000000,0.086289,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,195112,58.000000,2.000000,1.000000,195112.000000,0.000000,52.299089,0.000000,0.000000,0.261475,195112.000000,3.448276
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,300763,67.000000,2.000000,1.000000,300763.000000,0.000000,103.047028,0.000000,0.000000,0.515214,300763.000000,2.985075
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,405224,74.000000,2.000000,1.000000,405224.000000,0.000000,172.867406,0.000000,0.000000,0.864314,405224.000000,2.702703
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,493039,79.000000,2.000000,1.000000,493039.000000,0.000000,250.234060,0.000000,0.000000,1.251144,493039.000000,2.531646
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,592704,84.000000,2.000000,1.000000,592704.000000,0.000000,395.804860,0.000000,0.000000,1.978994,592704.000000,2.380952
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,704969,89.000000,2.000000,1.000000,704969.000000,0.000000,528.409444,0.000000,0.000000,2.642012,704969.000000,2.247191
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,804357,93.000000,2.000000,1.000000,804357.000000,0.000000,667.840332,0.000000,0.000000,3.339163,804357.000000,2.150538
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,912673,97.000000,2.000000,1.000000,912673.000000,0.000000,883.824178,0.000000,0.000000,4.419082,912673.000000,2.061856
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.000000,1071.155029,0.000000,0.000000,5.355735,1000000.000000,2.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1.000000,10648.000000,1.828000,0.724613,0.000000,0.000000,0.003606,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1.000000,19683.000000,0.010333,1.222417,0.000000,0.000000,0.006095,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1.000000,29791.000000,0.009667,1.796416,0.000000,0.000000,0.008966,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1.000000,39304.000000,0.009667,2.342713,0.000000,0.000000,0.011697,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1.000000,50653.000000,0.010333,3.004798,0.000000,0.000000,0.015007,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1.000000,59319.000000,0.010000,3.511940,0.000000,0.000000,0.017542,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1.000000,68921.000000,0.011333,4.076701,0.000000,0.000000,0.020365,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1.000000,79507.000000,0.012000,4.697708,0.000000,0.000000,0.023470,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1.000000,91125.000000,0.011667,9.730245,0.000000,0.000000,0.048634,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1.000000,97336.000000,0.011667,10.406906,0.000000,0.000000,0.052016,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,195112,58.000000,2.000000,1.000000,195112.000000,0.014333,30.443549,0.000000,0.000000,0.152198,195112.000000,3.448276
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,300763,67.000000,2.000000,1.000000,300763.000000,0.012333,61.948861,0.000000,0.000000,0.309724,300763.000000,2.985075
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,405224,74.000000,2.000000,1.000000,405224.000000,0.014333,103.606026,0.000000,0.000000,0.518009,405224.000000,2.702703
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,493039,79.000000,2.000000,1.000000,493039.000000,0.017667,150.235738,0.000000,0.000000,0.751156,493039.000000,2.531646
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,592704,84.000000,2.000000,1.000000,592704.000000,0.015000,238.833110,0.000000,0.000000,1.194136,592704.000000,2.380952
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,704969,89.000000,2.000000,1.000000,704969.000000,0.019000,318.577118,0.000000,0.000000,1.592855,704969.000000,2.247191
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce_rtc,200,804357,93.000000,2.000000,1.000000,804357.000000,0.026667,403.022359,0.000000,0.000000,2.015075,804357.000000,2.150538
