GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,193.737691,0.000000,0.146788,0.000000,0.000000,0.000718,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,193.737686,0.000000,0.093727,0.000000,0.000000,0.000452,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,193.737691,0.000000,0.087619,0.000000,0.000000,0.000422,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,193.737681,0.000000,0.083502,0.000000,0.000000,0.000401,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,193.737691,0.000000,0.081863,0.000000,0.000000,0.000393,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,20,1.000000,193.737676,0.000000,0.082119,0.000000,0.000000,0.000395,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,50,1.000000,193.737691,0.000000,0.083593,0.000000,0.000000,0.000402,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,100,1.000000,193.737681,0.000000,0.085565,0.000000,0.000000,0.000411,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,200,1.000000,193.737701,0.000000,0.087100,0.000000,0.000000,0.000419,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1.000000,1396.787191,0.000000,0.710837,0.000000,0.000000,0.003538,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.000000,0.369455,0.000000,0.000000,0.001831,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,2,1.000000,1396.787231,0.000000,0.364481,0.000000,0.000000,0.001805,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.000000,0.362845,0.000000,0.000000,0.001797,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,10,1.000000,1396.787272,0.000000,0.363583,0.000000,0.000000,0.001802,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.000000,0.366166,0.000000,0.000000,0.001814,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,50,1.000000,1396.787231,0.000000,0.370860,0.000000,0.000000,0.001838,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.000000,0.375097,0.000000,0.000000,0.001859,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.000000,0.378015,0.000000,0.000000,0.001874,64000.000000,10.000000
