GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066279,0.000000,0.082569,0.000000,0.000000,0.000396,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547811,0.000000,0.080078,0.000000,0.000000,0.000385,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,2.000000,361.599589,0.000000,0.128020,0.000000,0.000000,0.000624,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234212,0.000000,0.083769,0.000000,0.000000,0.000402,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,3.000000,543.622314,0.000000,0.173221,0.000000,0.000000,0.000850,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968160,0.000000,0.090357,0.000000,0.000000,0.000435,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,39366,27.000000,2.000000,2.000000,338.339447,0.000000,0.125102,0.000000,0.000000,0.000609,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,4.000000,725.164266,0.000000,0.217887,0.000000,0.000000,0.001073,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532237,0.000000,0.090865,0.000000,0.000000,0.000438,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59049,27.000000,2.000000,3.000000,507.241648,0.000000,0.168482,0.000000,0.000000,0.000826,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321111,0.000000,0.088727,0.000000,0.000000,0.000427,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,59582,31.000000,2.000000,2.000000,346.719279,0.000000,0.128065,0.000000,0.000000,0.000624,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674154,0.000000,0.103980,0.000000,0.000000,0.000503,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78608,34.000000,2.000000,2.000000,381.408193,0.000000,0.167001,0.000000,0.000000,0.000819,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,78732,27.000000,2.000000,4.000000,678.367371,0.000000,0.259844,0.000000,0.000000,0.001283,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616613,0.000000,0.108363,0.000000,0.000000,0.000525,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,89373,31.000000,2.000000,3.000000,520.849446,0.000000,0.212662,0.000000,0.000000,0.001047,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291753,0.000000,0.107962,0.000000,0.000000,0.000523,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207525,0.000000,0.110990,0.000000,0.000000,0.000538,97336.000000,4.347826
