GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,2.000000,1.000000,64000.000000,0.000000,7.547875,0.000000,0.000000,0.037723,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,4.000000,1.000000,64000.000000,0.000000,7.845976,0.000000,0.000000,0.039214,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,6.000000,1.000000,64000.000000,0.000000,8.942102,0.000000,0.000000,0.044694,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,8.000000,1.000000,64000.000000,0.000000,10.331217,0.000000,0.000000,0.051640,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,10.000000,1.000000,64000.000000,0.000000,11.324586,0.000000,0.000000,0.056606,64000.000000,25.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,12.000000,1.000000,64000.000000,0.000000,11.777719,0.000000,0.000000,0.058872,64000.000000,30.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,14.000000,1.000000,64000.000000,0.000000,11.989008,0.000000,0.000000,0.059929,64000.000000,35.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,16.000000,1.000000,64000.000000,0.000000,12.056713,0.000000,0.000000,0.060267,64000.000000,40.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,18.000000,1.000000,64000.000000,0.000000,12.055956,0.000000,0.000000,0.060263,64000.000000,45.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,20.000000,1.000000,64000.000000,0.000000,12.031065,0.000000,0.000000,0.060139,64000.000000,50.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,22.000000,1.000000,64000.000000,0.000000,12.025098,0.000000,0.000000,0.060109,64000.000000,55.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,24.000000,1.000000,64000.000000,0.000000,12.026210,0.000000,0.000000,0.060114,64000.000000,60.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,26.000000,1.000000,64000.000000,0.000000,12.031282,0.000000,0.000000,0.060140,64000.000000,65.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,28.000000,1.000000,64000.000000,0.000000,12.031438,0.000000,0.000000,0.060141,64000.000000,70.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,30.000000,1.000000,64000.000000,0.000000,12.031012,0.000000,0.000000,0.060138,64000.000000,75.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,32.000000,1.000000,64000.000000,0.000000,12.029938,0.000000,0.000000,0.060133,64000.000000,80.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,34.000000,1.000000,64000.000000,0.000000,12.025253,0.000000,0.000000,0.060110,64000.000000,85.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,36.000000,1.000000,64000.000000,0.000000,12.017612,0.000000,0.000000,0.060072,64000.000000,90.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,38.000000,1.000000,64000.000000,0.000000,12.004850,0.000000,0.000000,0.060008,64000.000000,95.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,64000,40.000000,40.000000,1.000000,64000.000000,0.000000,11.987523,0.000000,0.000000,0.059921,64000.000000,100.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,2.000000,1.000000,64000.000000,0.009333,3.784550,0.000000,0.000000,0.018907,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,4.000000,1.000000,64000.000000,0.009333,4.221852,0.000000,0.000000,0.021093,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,6.000000,1.000000,64000.000000,0.009333,5.449493,0.000000,0.000000,0.027231,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,8.000000,1.000000,64000.000000,0.009000,6.977047,0.000000,0.000000,0.034869,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,10.000000,1.000000,64000.000000,0.009333,8.086633,0.000000,0.000000,0.040417,64000.000000,25.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,12.000000,1.000000,64000.000000,0.009667,8.556107,0.000000,0.000000,0.042764,64000.000000,30.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,14.000000,1.000000,64000.000000,0.009667,8.710127,0.000000,0.000000,0.043534,64000.000000,35.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,16.000000,1.000000,64000.000000,0.009667,8.756827,0.000000,0.000000,0.043768,64000.000000,40.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,18.000000,1.000000,64000.000000,0.009667,8.775481,0.000000,0.000000,0.043861,64000.000000,45.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,20.000000,1.000000,64000.000000,0.009667,8.784063,0.000000,0.000000,0.043904,64000.000000,50.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,22.000000,1.000000,64000.000000,0.009667,8.788875,0.000000,0.000000,0.043928,64000.000000,55.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,24.000000,1.000000,64000.000000,0.009667,8.792669,0.000000,0.000000,0.043947,64000.000000,60.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,26.000000,1.000000,64000.000000,0.009667,8.795355,0.000000,0.000000,0.043960,64000.000000,65.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,28.000000,1.000000,64000.000000,0.009667,8.795945,0.000000,0.000000,0.043963,64000.000000,70.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,30.000000,1.000000,64000.000000,0.009667,8.794893,0.000000,0.000000,0.043958,64000.000000,75.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,32.000000,1.000000,64000.000000,0.009667,8.791776,0.000000,0.000000,0.043942,64000.000000,80.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,34.000000,1.000000,64000.000000,0.009333,8.785674,0.000000,0.000000,0.043912,64000.000000,85.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,36.000000,1.000000,64000.000000,0.009667,8.777374,0.000000,0.000000,0.043870,64000.000000,90.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,38.000000,1.000000,64000.000000,0.009667,8.766164,0.000000,0.000000,0.043814,64000.000000,95.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,64000,40.000000,40.000000,1.000000,64000.000000,0.009667,8.751289,0.000000,0.000000,0.043740,64000.000000,100.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1.000000,193.737706,0.000000,0.092234,0.000000,0.000000,0.000446,64000.000000,5.000000
