GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,1.000000,10648.000000,0.000000,1.319749,0.000000,0.000000,0.006583,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,19683,27.000000,2.000000,1.000000,19683.000000,0.000000,2.356732,0.000000,0.000000,0.011768,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,29791,31.000000,2.000000,1.000000,29791.000000,0.000000,3.534444,0.000000,0.000000,0.017657,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,39304,34.000000,2.000000,1.000000,39304.000000,0.000000,4.650127,0.000000,0.000000,0.023235,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,50653,37.000000,2.000000,1.000000,50653.000000,0.000000,5.980932,0.000000,0.000000,0.029889,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,59319,39.000000,2.000000,1.000000,59319.000000,0.000000,6.997691,0.000000,0.000000,0.034973,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,68921,41.000000,2.000000,1.000000,68921.000000,0.000000,8.124188,0.000000,0.000000,0.040605,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,79507,43.000000,2.000000,1.000000,79507.000000,0.000000,9.367025,0.000000,0.000000,0.046819,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,91125,45.000000,2.000000,1.000000,91125.000000,0.000000,16.175238,0.000000,0.000000,0.080859,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,97336,46.000000,2.000000,1.000000,97336.000000,0.000000,17.263850,0.000000,0.000000,0.086302,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,195112,58.000000,2.000000,1.000000,195112.000000,0.000000,52.299471,0.000000,0.000000,0.261479,195112.000000,3.448276
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,300763,67.000000,2.000000,1.000000,300763.000000,0.000000,103.035471,0.000000,0.000000,0.515157,300763.000000,2.985075
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,405224,74.000000,2.000000,1.000000,405224.000000,0.000000,173.004379,0.000000,0.000000,0.865000,405224.000000,2.702703
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,493039,79.000000,2.000000,1.000000,493039.000000,0.000000,249.992116,0.000000,0.000000,1.249931,493039.000000,2.531646
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,592704,84.000000,2.000000,1.000000,592704.000000,0.000000,395.891113,0.000000,0.000000,1.979416,592704.000000,2.380952
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,704969,89.000000,2.000000,1.000000,704969.000000,0.000000,528.642029,0.000000,0.000000,2.643177,704969.000000,2.247191
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,804357,93.000000,2.000000,1.000000,804357.000000,0.000000,668.127360,0.000000,0.000000,3.340604,804357.000000,2.150538
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,912673,97.000000,2.000000,1.000000,912673.000000,0.000000,883.962097,0.000000,0.000000,4.419776,912673.000000,2.061856
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.000000,1071.346924,0.000000,0.000000,5.356700,1000000.000000,2.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1.000000,10648.000000,1.719667,0.724372,0.000000,0.000000,0.003607,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1.000000,19683.000000,0.009667,1.221669,0.000000,0.000000,0.006093,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1.000000,29791.000000,0.009667,1.795371,0.000000,0.000000,0.008961,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1.000000,39304.000000,0.009667,2.341252,0.000000,0.000000,0.011691,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1.000000,50653.000000,0.010333,3.002915,0.000000,0.000000,0.014999,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1.000000,59319.000000,0.009667,3.509449,0.000000,0.000000,0.017531,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1.000000,68921.000000,0.009667,4.072528,0.000000,0.000000,0.020347,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1.000000,79507.000000,0.009333,4.692807,0.000000,0.000000,0.023448,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1.000000,91125.000000,0.009667,9.722765,0.000000,0.000000,0.048597,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1.000000,97336.000000,0.009667,10.399282,0.000000,0.000000,0.051980,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,195112,58.000000,2.000000,1.000000,195112.000000,0.010000,30.444528,0.000000,0.000000,0.152205,195112.000000,3.448276
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,300763,67.000000,2.000000,1.000000,300763.000000,0.011667,61.925988,0.000000,0.000000,0.309611,300763.000000,2.985075
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,405224,74.000000,2.000000,1.000000,405224.000000,0.011667,103.533089,0.000000,0.000000,0.517645,405224.000000,2.702703
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,493039,79.000000,2.000000,1.000000,493039.000000,0.011333,150.170552,0.000000,0.000000,0.750831,493039.000000,2.531646
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,592704,84.000000,2.000000,1.000000,592704.000000,0.012333,238.823965,0.000000,0.000000,1.194095,592704.000000,2.380952
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,704969,89.000000,2.000000,1.000000,704969.000000,0.013667,321.166270,0.000000,0.000000,1.605804,704969.000000,2.247191
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,804357,93.000000,2.000000,1.000000,804357.000000,0.014000,403.019592,0.000000,0.000000,2.015068,804357.000000,2.150538
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,912673,97.000000,2.000000,1.000000,912673.000000,0.015000,532.876974,0.000000,0.000000,2.664352,912673.000000,2.061856
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.014000,648.341268,0.000000,0.000000,3.241673,1000000.000000,2.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066294,0.000000,0.080192,0.000000,0.000000,0.000386,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547836,0.000000,0.078642,0.000000,0.000000,0.000378,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234202,0.000000,0.081966,0.000000,0.000000,0.000395,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968135,0.000000,0.088225,0.000000,0.000000,0.000426,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532257,0.000000,0.088194,0.000000,0.000000,0.000425,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321116,0.000000,0.087298,0.000000,0.000000,0.000421,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674148,0.000000,0.101650,0.000000,0.000000,0.000493,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616603,0.000000,0.106392,0.000000,0.000000,0.000517,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291763,0.000000,0.105649,0.000000,0.000000,0.000513,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207540,0.000000,0.109034,0.000000,0.000000,0.000530,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,195112,58.000000,2.000000,1.000000,198.959503,0.000000,0.184316,0.000000,0.000000,0.000906,195112.000000,3.448276
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,300763,67.000000,2.000000,1.000000,192.584834,0.000000,0.232868,0.000000,0.000000,0.001148,300763.000000,2.985075
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,405224,74.000000,2.000000,1.000000,202.003098,0.000000,0.315520,0.000000,0.000000,0.001561,405224.000000,2.702703
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,493039,79.000000,2.000000,1.000000,195.315404,0.000000,0.355500,0.000000,0.000000,0.001761,493039.000000,2.531646
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,592704,84.000000,2.000000,1.000000,203.049301,0.000000,0.438008,0.000000,0.000000,0.002174,592704.000000,2.380952
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,704969,89.000000,2.000000,1.000000,197.129272,0.000000,0.509145,0.000000,0.000000,0.002530,704969.000000,2.247191
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,804357,93.000000,2.000000,1.000000,197.677042,0.000000,0.540429,0.000000,0.000000,0.002686,804357.000000,2.150538
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,912673,97.000000,2.000000,1.000000,198.333054,0.000000,0.620256,0.000000,0.000000,0.003085,912673.000000,2.061856
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,1000000,100.000000,2.000000,1.000000,204.504013,0.000000,0.685040,0.000000,0.000000,0.003409,1000000.000000,2.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1.000000,181.066279,1.699667,0.066081,0.000000,0.000000,0.000314,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1.000000,168.547826,0.009333,0.060893,0.000000,0.000000,0.000289,19683.000000,7.407407
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1.000000,173.234197,0.009333,0.063945,0.000000,0.000000,0.000305,29791.000000,6.451613
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1.000000,190.968145,0.009333,0.069242,0.000000,0.000000,0.000331,39304.000000,5.882353
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1.000000,178.532252,0.009333,0.069259,0.000000,0.000000,0.000331,50653.000000,5.405405
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1.000000,180.321116,0.009333,0.069263,0.000000,0.000000,0.000331,59319.000000,5.128205
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,68921,41.000000,2.000000,1.000000,181.674138,0.009333,0.083731,0.000000,0.000000,0.000403,68921.000000,4.878049
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,79507,43.000000,2.000000,1.000000,182.616592,0.009333,0.088456,0.000000,0.000000,0.000427,79507.000000,4.651163
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,91125,45.000000,2.000000,1.000000,184.291758,0.009333,0.087042,0.000000,0.000000,0.000420,91125.000000,4.444444
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,97336,46.000000,2.000000,1.000000,196.207550,0.009333,0.089662,0.000000,0.000000,0.000433,97336.000000,4.347826
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,195112,58.000000,2.000000,1.000000,198.959498,0.009333,0.148445,0.000000,0.000000,0.000726,195112.000000,3.448276
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,300763,67.000000,2.000000,1.000000,192.584839,0.009667,0.182977,0.000000,0.000000,0.000899,300763.000000,2.985075
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,405224,74.000000,2.000000,1.000000,202.003108,0.009667,0.250449,0.000000,0.000000,0.001237,405224.000000,2.702703
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,493039,79.000000,2.000000,1.000000,195.315424,0.009667,0.284970,0.000000,0.000000,0.001409,493039.000000,2.531646
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,592704,84.000000,2.000000,1.000000,203.049301,0.009667,0.349787,0.000000,0.000000,0.001733,592704.000000,2.380952
