GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,0,1.000000,0.006546,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,1,1.000000,0.006394,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,2,1.000000,0.006396,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,3,1.000000,0.006394,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,4,1.000000,0.006395,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,5,1.000000,0.006396,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,6,1.000000,0.006398,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,7,1.000000,0.006397,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,8,1.000000,0.006398,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,9,1.000000,0.006399,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,10,1.000000,0.006400,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,11,1.000000,0.006399,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,12,1.000000,0.006401,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,13,1.000000,0.006404,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,14,1.000000,0.006405,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,15,1.000000,0.006405,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,16,1.000000,0.006405,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,17,1.000000,0.006406,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,18,1.000000,0.006408,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,19,1.000000,0.006407,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,20,1.000000,0.006409,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,21,1.000000,0.006411,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,22,1.000000,0.006413,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,23,1.000000,0.006414,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,24,1.000000,0.006415,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,25,1.000000,0.006415,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,26,1.000000,0.006419,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,27,1.000000,0.006420,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,28,1.000000,0.006422,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,29,1.000000,0.006421,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,30,1.000000,0.006424,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,31,1.000000,0.006425,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,32,1.000000,0.006428,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,33,1.000000,0.006430,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,34,1.000000,0.006430,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,35,1.000000,0.006433,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,36,1.000000,0.006432,10648.000000,9.090909
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,37,1.000000,0.006433,10648.000000,9.090909
