GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,193.737671,0.000000,0.144829,0.000000,0.000000,0.000710,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,193.737707,0.000000,0.092072,0.000000,0.000000,0.000446,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,193.737691,0.000000,0.085368,0.000000,0.000000,0.000412,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,193.737686,0.000000,0.081361,0.000000,0.000000,0.000392,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,193.737691,0.000000,0.080484,0.000000,0.000000,0.000387,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,20,1.000000,193.737676,0.000000,0.080432,0.000000,0.000000,0.000387,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,50,1.000000,193.737686,0.000000,0.081643,0.000000,0.000000,0.000393,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,100,1.000000,193.737676,0.000000,0.083184,0.000000,0.000000,0.000401,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,2.000000,200,1.000000,193.737701,0.000000,0.085121,0.000000,0.000000,0.000411,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,0,1.000000,1396.787191,0.000000,0.710238,0.000000,0.000000,0.003536,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.000000,0.366831,0.000000,0.000000,0.001819,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,2,1.000000,1396.787231,0.000000,0.362078,0.000000,0.000000,0.001795,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.000000,0.360526,0.000000,0.000000,0.001788,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,10,1.000000,1396.787231,0.000000,0.361443,0.000000,0.000000,0.001792,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.000000,0.363650,0.000000,0.000000,0.001804,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,50,1.000000,1396.787231,0.000000,0.368939,0.000000,0.000000,0.001830,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.000000,0.372851,0.000000,0.000000,0.001849,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.000000,0.376152,0.000000,0.000000,0.001866,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,0,1.000000,3722.180420,0.000000,1.629981,0.000000,0.000000,0.008134,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,1,1.000000,3722.180420,0.000000,0.969742,0.000000,0.000000,0.004833,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,2,1.000000,3722.180338,0.000000,0.964520,0.000000,0.000000,0.004808,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,5,1.000000,3722.180176,0.000000,0.961494,0.000000,0.000000,0.004792,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,10,1.000000,3722.180176,0.000000,0.960646,0.000000,0.000000,0.004788,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,20,1.000000,3722.180094,0.000000,0.959175,0.000000,0.000000,0.004781,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,50,1.000000,3722.180257,0.000000,0.964195,0.000000,0.000000,0.004806,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,100,1.000000,3722.180094,0.000000,0.971436,0.000000,0.000000,0.004842,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,6.000000,200,1.000000,3722.180338,0.000000,0.969843,0.000000,0.000000,0.004834,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,0,1.000000,8960.027018,0.000000,3.748085,0.000000,0.000000,0.018725,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,1,1.000000,8960.027344,0.000000,2.474237,0.000000,0.000000,0.012355,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,2,1.000000,8960.027018,0.000000,2.469544,0.000000,0.000000,0.012332,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,5,1.000000,8960.027344,0.000000,2.465478,0.000000,0.000000,0.012311,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,10,1.000000,8960.027344,0.000000,2.465130,0.000000,0.000000,0.012310,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,20,1.000000,8960.026692,0.000000,2.466260,0.000000,0.000000,0.012315,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,50,1.000000,8960.027018,0.000000,2.475841,0.000000,0.000000,0.012363,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,100,1.000000,8960.027344,0.000000,2.482519,0.000000,0.000000,0.012397,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D,200,64000,40.000000,8.000000,200,1.000000,8960.027018,0.000000,2.497475,0.000000,0.000000,0.012472,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1.000000,193.737686,0.009000,0.132339,0.000000,0.000000,0.000647,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1.000000,193.737691,0.009000,0.074740,0.000000,0.000000,0.000359,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,1.000000,193.737691,0.009000,0.068036,0.000000,0.000000,0.000325,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,1,circles_spatial3D_rtc,200,64000,40.000000,2.000000,5,1.000000,193.737686,0.009000,0.064025,0.000000,0.000000,0.000305,64000.000000,5.000000
